"Time (s)","Illuminance (lx)"
0.000000000E0,4.200000000E1
2.028338980E-1,3.700000000E1
4.057147570E-1,5.800000000E1
6.085956160E-1,1.150000000E2
8.117816520E-1,2.610000000E2
1.014296300E0,2.730000000E2
1.217146642E0,2.660000000E2
1.420058019E0,2.580000000E2
1.622908361E0,2.540000000E2
1.825880773E0,2.560000000E2
2.231520421E0,2.470000000E2
2.434370763E0,2.020000000E2
2.637251622E0,4.800000000E1
2.840132482E0,1.200000000E1
3.042952306E0,1.100000000E1
3.246077306E0,1.500000000E1
3.448683507E0,1.900000000E1
3.854414708E0,1.600000000E1
4.260176427E0,1.500000000E1
4.462965734E0,1.600000000E1
4.665858999E0,1.500000000E1
4.868709341E0,1.400000000E1
5.071559683E0,1.100000000E1
5.477260366E0,1.000000000E1
5.680385366E0,8.000000000E0
5.882991567E0,5.000000000E0
6.491573110E0,6.000000000E0
6.694484487E0,5.000000000E0
6.897304312E0,2.000000000E0
7.100551382E0,1.000000000E0
7.303035513E0,2.000000000E0
8.317317739E0,1.000000000E0
8.723079458E0,3.000000000E0
8.925929800E0,7.000000000E0
9.331630483E0,5.000000000E0
9.737392202E0,8.000000000E0
9.940212026E0,7.000000000E0
1.014312340E1,2.000000000E0
1.054888512E1,1.000000000E0
1.095452477E1,2.000000000E0
1.115740563E1,1.000000000E0
1.237453820E1,2.000000000E0
1.298336388E1,1.000000000E0
1.318600060E1,2.000000000E0
1.338885094E1,1.000000000E0
1.379461266E1,2.000000000E0
1.399752404E1,1.000000000E0
1.420037438E1,2.000000000E0
1.460611180E1,1.000000000E0
1.501181248E1,0.000000000E0
1.541760472E1,1.000000000E0
1.622903660E1,0.000000000E0
1.927203587E1,1.000000000E0
2.008352879E1,0.000000000E0
2.434369114E1,1.000000000E0
2.474938553E1,0.000000000E0
3.529874907E1,1.000000000E0
3.651640044E1,0.000000000E0
3.915348540E1,1.000000000E0
4.219660674E1,2.000000000E0
4.239948759E1,1.000000000E0
6.431036565E1,2.000000000E0
6.471576773E1,1.000000000E0
6.674469839E1,2.000000000E0
6.694748770E1,1.000000000E0
6.735327994E1,5.000000000E0
6.755616080E1,2.000000000E1
6.775904166E1,1.000000000E1
6.796192252E1,3.000000000E0
6.836771475E1,1.000000000E0
6.857056509E1,0.000000000E0
6.877344595E1,1.000000000E0
6.897635733E1,0.000000000E0
6.917923819E1,1.000000000E0
6.938211905E1,0.000000000E0
6.958515250E1,2.000000000E0
6.978791128E1,3.000000000E0
6.999076163E1,7.000000000E0
7.019364249E1,1.900000000E1
7.039655386E1,1.400000000E1
7.059943472E1,7.000000000E0
7.080231558E1,6.000000000E0
7.100537955E1,1.500000000E1
7.120804678E1,2.300000000E1
7.141095816E1,2.000000000E1
7.161390005E1,8.000000000E0
7.181678091E1,7.000000000E0
7.201966177E1,1.000000000E0
7.222251212E1,2.000000000E1
7.242563712E1,3.500000000E1
7.262827383E1,3.700000000E1
7.283115469E1,1.700000000E1
7.303409659E1,7.000000000E0
7.323697745E1,1.000000000E1
7.343988882E1,6.000000000E0
7.364276968E1,1.700000000E1
7.384592520E1,3.000000000E1
7.404856192E1,2.900000000E1
7.425144278E1,2.600000000E1
7.445435416E1,7.000000000E0
7.465731027E1,8.000000000E0
7.486019113E1,2.600000000E1
7.506307199E1,3.000000000E1
7.526616647E1,2.600000000E1
7.546892526E1,1.100000000E1
7.567180612E1,8.000000000E0
7.607768990E1,3.200000000E1
7.628057076E1,5.100000000E1
7.648348214E1,4.200000000E1
7.668645455E1,1.100000000E1
7.688927438E1,6.000000000E0
7.709255196E1,1.500000000E1
7.729509713E1,3.800000000E1
7.749797799E1,4.400000000E1
7.770088937E1,3.200000000E1
7.790377023E1,1.200000000E1
7.810674264E1,1.100000000E1
7.830956246E1,2.400000000E1
7.851284005E1,5.100000000E1
7.871541574E1,5.500000000E1
7.891829659E1,3.000000000E1
7.912120797E1,1.000000000E1
7.932411935E1,1.200000000E1
7.952706124E1,2.800000000E1
7.972991159E1,4.800000000E1
7.993309762E1,5.200000000E1
8.013573434E1,2.500000000E1
8.033861520E1,1.200000000E1
8.054152658E1,1.400000000E1
8.074443795E1,5.100000000E1
8.094734933E1,6.000000000E1
8.115023019E1,6.400000000E1
8.135332467E1,3.000000000E1
8.155605294E1,1.500000000E1
8.175893380E1,1.600000000E1
8.196181466E1,6.600000000E1
8.216487863E1,6.400000000E1
8.236760690E1,2.900000000E1
8.257048776E1,1.500000000E1
8.277355172E1,1.000000000E1
8.338201119E1,7.000000000E0
8.358492257E1,8.000000000E0
8.378780343E1,1.100000000E1
8.399065377E1,1.000000000E1
8.419380929E1,8.000000000E0
8.439644601E1,3.000000000E0
8.459928587E1,0.000000000E0
8.480219725E1,1.000000000E0
8.561405638E1,0.000000000E0
8.581660155E1,1.000000000E0
8.622269896E1,0.000000000E0
8.642521361E1,1.000000000E0
8.662812498E1,2.000000000E0
8.683097533E1,1.000000000E0
8.703431395E1,2.000000000E0
8.723679808E1,6.000000000E0
8.743964842E1,1.000000000E1
8.764252928E1,1.400000000E1
8.784541014E1,1.600000000E1
8.804838255E1,6.000000000E0
8.825117186E1,3.000000000E0
8.845408324E1,6.000000000E0
8.865693358E1,1.200000000E1
8.885984496E1,2.000000000E0
8.906272582E1,3.000000000E0
8.946864012E1,1.000000000E1
8.967133788E1,7.000000000E0
8.987421873E1,1.600000000E1
9.007713011E1,2.000000000E1
9.028001097E1,5.800000000E1
9.048286131E1,5.100000000E1
9.068574217E1,6.600000000E1
9.088889769E1,2.100000000E1
9.109150389E1,2.000000000E0
9.129438475E1,4.000000000E1
9.149726561E1,4.600000000E1
9.170014647E1,3.400000000E1
9.190305785E1,3.000000000E0
9.210590819E1,1.000000000E0
9.230912474E1,2.000000000E0
9.251163939E1,3.000000000E0
9.291743162E1,5.000000000E0
9.332322386E1,3.000000000E0
9.352604369E1,1.000000000E0
9.413471678E1,2.000000000E0
9.454047706E1,3.000000000E0
9.474344947E1,5.000000000E0
9.494626930E1,1.000000000E0
9.514957740E1,2.100000000E1
9.535212257E1,2.400000000E1
9.555500343E1,1.700000000E1
9.575794532E1,2.000000000E1
9.596079567E1,1.700000000E1
9.616373756E1,2.000000000E0
9.636658790E1,1.000000000E1
9.656980446E1,7.000000000E0
9.677238014E1,1.000000000E1
9.697529152E1,2.000000000E1
9.717817238E1,7.000000000E0
9.738105323E1,2.300000000E1
9.758399513E1,1.600000000E1
9.778681495E1,5.500000000E1
9.799003150E1,3.400000000E1
9.839557960E1,7.500000000E1
9.859839943E1,8.700000000E1
9.880128028E1,5.100000000E1
9.900419166E1,1.500000000E1
9.920704200E1,2.400000000E1
9.941028907E1,3.800000000E1
9.961283424E1,1.700000000E1
9.981571510E1,1.000000000E0
1.006272996E2,2.000000000E0
1.008305161E2,1.000000000E0
1.010330918E2,2.000000000E0
1.012359422E2,1.000000000E1
1.016417344E2,6.000000000E0
1.018446458E2,0.000000000E0
1.022507432E2,2.000000000E0
1.024533494E2,5.000000000E0
1.026561692E2,1.600000000E1
1.028590806E2,1.200000000E1
1.030619614E2,6.000000000E0
1.032648728E2,1.000000000E0
1.034677232E2,3.000000000E0
1.036709702E2,1.600000000E1
1.038735459E2,7.000000000E0
1.040763963E2,3.000000000E1
1.042793076E2,2.300000000E1
1.044821885E2,4.000000000E1
1.046850736E2,5.300000000E1
1.048879545E2,4.900000000E1
1.050912626E2,6.900000000E1
1.052937773E2,4.800000000E1
1.054966276E2,4.400000000E1
1.056995085E2,7.100000000E1
1.059023893E2,8.100000000E1
1.061053007E2,5.300000000E1
1.063081510E2,3.000000000E1
1.065115202E2,2.600000000E1
1.067139433E2,4.200000000E1
1.069168241E2,1.200000000E1
1.071197660E2,1.000000000E1
1.073226164E2,1.100000000E1
1.075255583E2,2.100000000E1
1.077284391E2,2.600000000E1
1.079316862E2,5.000000000E0
1.081342619E2,2.000000000E0
1.083371427E2,1.000000000E0
1.085400541E2,2.000000000E0
1.087429655E2,3.000000000E0
1.089459074E2,2.000000000E0
1.095546110E2,3.000000000E0
1.097574919E2,2.000000000E0
1.099604338E2,3.000000000E0
1.101633451E2,1.100000000E1
1.103662565E2,2.400000000E1
1.105692900E2,2.100000000E1
1.107721708E2,1.000000000E0
1.109749601E2,2.000000000E0
1.111782682E2,1.400000000E1
1.113808134E2,1.500000000E1
1.115837248E2,2.000000000E0
1.117866056E2,7.000000000E0
1.119895170E2,5.000000000E0
1.121924589E2,2.000000000E0
1.125984953E2,3.200000000E1
1.128011625E2,4.900000000E1
1.130040739E2,3.400000000E1
1.132069853E2,4.600000000E1
1.134098661E2,6.600000000E1
1.136127775E2,7.100000000E1
1.138156278E2,5.600000000E1
1.140187223E2,4.300000000E1
1.142214201E2,4.400000000E1
1.144243315E2,5.700000000E1
1.146272459E2,4.300000000E1
1.148301572E2,2.300000000E1
1.150330991E2,1.600000000E1
1.152359190E2,3.000000000E0
1.154389524E2,1.000000000E0
1.156417417E2,2.000000000E0
1.158445921E2,1.000000000E0
1.160474729E2,7.000000000E0
1.162503843E2,1.100000000E1
1.164532957E2,1.000000000E1
1.166561460E2,2.000000000E0
1.168591795E2,1.000000000E0
1.172648191E2,3.000000000E0
1.174677305E2,6.000000000E0
1.176706113E2,5.000000000E0
1.178735227E2,1.000000000E0
1.180764036E2,0.000000000E0
1.184821958E2,1.000000000E0
1.186855039E2,2.000000000E0
1.188879880E2,1.200000000E1
1.190908994E2,7.000000000E0
1.192938413E2,2.900000000E1
1.194966306E2,4.700000000E1
1.196996336E2,1.100000000E1
1.199024229E2,1.900000000E1
1.201053037E2,2.500000000E1
1.203081846E2,1.000000000E1
1.205110960E2,5.000000000E0
1.207140073E2,7.000000000E0
1.209168272E2,6.000000000E0
1.211198606E2,5.000000000E0
1.213226194E2,1.000000000E0
1.217283811E2,2.000000000E0
1.219312620E2,3.000000000E0
1.223370237E2,1.000000000E0
1.225400571E2,0.000000000E0
1.229456663E2,1.000000000E0
1.231485776E2,3.000000000E0
1.233514280E2,1.600000000E1
1.235543089E2,1.400000000E1
1.237571897E2,2.000000000E0
1.239602842E2,1.000000000E0
1.241629514E2,0.000000000E0
1.243658018E2,3.000000000E0
1.245686746E2,7.000000000E0
1.247715860E2,3.000000000E0
1.249744974E2,0.000000000E0
1.251773172E2,1.000000000E0
1.253805948E2,7.000000000E0
1.255831094E2,5.000000000E0
1.257859598E2,3.000000000E0
1.259888406E2,1.500000000E1
1.261917215E2,2.800000000E1
1.263946023E2,3.200000000E1
1.268008218E2,2.800000000E1
1.270032449E2,2.100000000E1
1.272061563E2,1.000000000E0
1.274090372E2,0.000000000E0
1.276119180E2,1.000000000E0
1.282209573E2,5.000000000E0
1.284234720E2,3.000000000E0
1.286263528E2,1.000000000E0
1.288292947E2,6.000000000E0
1.290321451E2,1.400000000E1
1.292350564E2,1.000000000E1
1.294379373E2,3.000000000E0
1.296412149E2,1.000000000E0
1.298436685E2,0.000000000E0
1.300465494E2,2.000000000E0
1.302494302E2,7.000000000E0
1.304523111E2,6.000000000E0
1.306552530E2,2.000000000E0
1.308581644E2,1.000000000E0
1.310609231E2,0.000000000E0
1.312637735E2,2.000000000E0
1.318724466E2,1.000000000E0
1.322781778E2,6.000000000E0
1.324810892E2,5.000000000E0
1.326839700E2,3.000000000E0
1.328868509E2,7.000000000E0
1.330897623E2,1.200000000E1
1.332925821E2,6.000000000E0
1.334957071E2,7.000000000E0
1.339012247E2,5.000000000E0
1.341040750E2,2.000000000E0
1.345098672E2,1.000000000E0
1.347126925E2,3.000000000E0
1.351184848E2,2.000000000E0
1.353213656E2,1.000000000E0
1.355242465E2,0.000000000E0
1.357270968E2,1.000000000E0
1.359300387E2,5.000000000E0
1.363357089E2,1.000000000E0
1.367414706E2,0.000000000E0
1.369443820E2,1.000000000E0
1.371472018E2,7.000000000E0
1.373502353E2,8.000000000E0
1.375529635E2,1.000000000E0
1.381616366E2,0.000000000E0
1.383645480E2,1.000000000E0
1.389732821E2,1.200000000E1
1.391760714E2,1.500000000E1
1.393789523E2,5.000000000E0
1.395818332E2,2.100000000E1
1.397847445E2,2.800000000E1
1.399875949E2,7.000000000E0
1.401907199E2,0.000000000E0
1.405962375E2,1.000000000E0
1.410019687E2,3.000000000E0
1.412049106E2,5.000000000E0
1.414077609E2,1.000000000E0
1.418134921E2,3.000000000E0
1.420163730E2,7.000000000E0
1.422193149E2,5.000000000E0
1.424221042E2,1.000000000E0
1.426249850E2,2.000000000E0
1.428278659E2,1.000000000E0
1.430311740E2,1.000000000E1
1.434364779E2,5.000000000E0
1.436393893E2,2.000000000E0
1.438422091E2,0.000000000E0
1.440451816E2,5.000000000E0
1.442479709E2,1.000000000E1
1.444508212E2,1.500000000E1
1.446537046E2,4.600000000E1
1.448565549E2,4.300000000E1
1.450594663E2,1.400000000E1
1.452622861E2,2.000000000E1
1.454654416E2,7.000000000E0
1.456680478E2,1.000000000E0
1.462766904E2,5.000000000E0
