"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.233075375E1,4.869218090E0,4.350012207E1,1.000000000E0,8.680000305E1,5.038400269E1,0.000000000E0
9.975918750E-1,5.233075398E1,4.869234350E0,-3.199877930E0,1.000000000E0,9.369999695E1,5.038400269E1,0.000000000E0
1.989282551E0,5.233075421E1,4.869249750E0,-3.199877930E0,9.700000286E-1,8.700000000E1,5.038400269E1,0.000000000E0
2.991359947E0,5.233075880E1,4.869261280E0,-3.199877930E0,9.300000072E-1,3.979999924E1,5.038400269E1,0.000000000E0
3.994073176E0,5.233076622E1,4.869259070E0,-3.199877930E0,8.999999762E-1,3.167000122E2,5.038400269E1,0.000000000E0
4.988971040E0,5.233077231E1,4.869247820E0,-1.003233643E1,8.799999952E-1,2.832000122E2,5.038400269E1,0.000000000E0
5.986389112E0,5.233077431E1,4.869234900E0,-1.027849121E1,8.600000143E-1,2.672000122E2,5.038400269E1,0.000000000E0
6.996630518E0,5.233077795E1,4.869224230E0,-2.455308838E1,8.700000048E-1,2.683999939E2,5.038400269E1,0.000000000E0
7.995065674E0,5.233078001E1,4.869212740E0,-2.476671143E1,8.700000048E-1,2.647000122E2,5.038400269E1,0.000000000E0
8.989704215E0,5.233077779E1,4.869202840E0,-2.547325439E1,8.899999857E-1,2.265000000E2,5.038400269E1,0.000000000E0
9.993018694E0,5.233077105E1,4.869201320E0,-2.618681641E1,8.899999857E-1,1.728999939E2,5.038400269E1,0.000000000E0
1.098998364E1,5.233076438E1,4.869209290E0,-2.690037842E1,8.799999952E-1,1.386000061E2,5.038400269E1,0.000000000E0
1.199214323E1,5.233076140E1,4.869222550E0,-2.761394043E1,8.700000048E-1,1.030999985E2,5.038400269E1,0.000000000E0
1.298838536E1,5.233076020E1,4.869236800E0,-2.832744141E1,8.700000048E-1,1.034000015E2,5.038400269E1,0.000000000E0
1.398853390E1,5.233075887E1,4.869250390E0,-2.904100342E1,8.600000143E-1,1.015999985E2,5.038400269E1,0.000000000E0
1.499243536E1,5.233075883E1,4.869263690E0,-2.975456543E1,8.500000238E-1,8.750000000E1,5.038400269E1,0.000000000E0
1.598832682E1,5.233076318E1,4.869274250E0,-3.046812744E1,8.399999738E-1,4.459999847E1,5.038400269E1,0.000000000E0
1.699360416E1,5.233077079E1,4.869273340E0,-3.118168945E1,8.199999928E-1,3.333999939E2,5.038400269E1,0.000000000E0
1.799238583E1,5.233077650E1,4.869262870E0,-3.189519043E1,8.100000024E-1,2.987999878E2,5.145600128E1,0.000000000E0
1.899769343E1,5.233077875E1,4.869250140E0,-3.260875244E1,7.799999714E-1,2.788999939E2,5.145600128E1,0.000000000E0
1.999034051E1,5.233078032E1,4.869238210E0,-3.703419800E1,7.599999905E-1,2.777000122E2,5.145600128E1,0.000000000E0
2.099306838E1,5.233077894E1,4.869221710E0,-3.784694214E1,1.440000057E0,2.500000000E2,5.145600128E1,0.000000000E0
2.199356520E1,5.233077211E1,4.869203450E0,-3.865971680E1,1.450000048E0,2.296000061E2,5.145600128E1,0.000000000E0
2.299167223E1,5.233075986E1,4.869197490E0,-3.947249146E1,1.440000057E0,1.873000031E2,5.145600128E1,0.000000000E0
2.398889046E1,5.233075010E1,4.869212750E0,-4.028523560E1,1.399999976E0,1.224000015E2,5.145600128E1,0.000000000E0
2.498814437E1,5.233074658E1,4.869237440E0,-4.109801025E1,1.389999986E0,1.020000000E2,5.145600128E1,0.000000000E0
2.599099088E1,5.233074475E1,4.869261360E0,-4.191078491E1,1.379999995E0,1.020000000E2,5.145600128E1,0.000000000E0
2.698412843E1,5.233074255E1,4.869283270E0,-4.272352905E1,1.379999995E0,1.020000000E2,5.145600128E1,0.000000000E0
2.798700942E1,5.233074321E1,4.869305410E0,-4.353630371E1,1.379999995E0,8.490000153E1,5.145600128E1,0.000000000E0
2.899206994E1,5.233075461E1,4.869314570E0,-4.434907837E1,0.000000000E0,0.000000000E0,5.145600128E1,0.000000000E0
2.998904832E1,5.233076939E1,4.869307200E0,-4.881019897E1,0.000000000E0,0.000000000E0,5.145600128E1,0.000000000E0
3.100307457E1,5.233077609E1,4.869286490E0,-4.974553223E1,0.000000000E0,0.000000000E0,5.145600128E1,0.000000000E0
3.199117504E1,5.233077819E1,4.869263460E0,-4.840373535E1,0.000000000E0,0.000000000E0,5.145600128E1,0.000000000E0
3.299975145E1,5.233078056E1,4.869242310E0,-5.107911987E1,0.000000000E0,0.000000000E0,5.145600128E1,0.000000000E0
3.399227712E1,5.233078163E1,4.869221480E0,-5.334108276E1,0.000000000E0,0.000000000E0,5.145600128E1,0.000000000E0
3.499547384E1,5.233077854E1,4.869205650E0,-5.431737061E1,0.000000000E0,0.000000000E0,5.145600128E1,0.000000000E0
3.599507920E1,5.233076980E1,4.869202840E0,-5.529368896E1,0.000000000E0,0.000000000E0,5.145600128E1,0.000000000E0
3.699548243E1,5.233076252E1,4.869209580E0,-5.627000732E1,0.000000000E0,0.000000000E0,5.145600128E1,0.000000000E0
3.799402722E1,5.233075828E1,4.869219280E0,-5.724632568E1,0.000000000E0,0.000000000E0,5.145600128E1,0.000000000E0
3.899439259E1,5.233075566E1,4.869229810E0,-5.822264404E1,0.000000000E0,0.000000000E0,5.145600128E1,0.000000000E0
3.999271311E1,5.233075460E1,4.869240610E0,-5.919896240E1,0.000000000E0,0.000000000E0,5.145600128E1,0.000000000E0
4.098994972E1,5.233075624E1,4.869251040E0,-6.017528076E1,0.000000000E0,0.000000000E0,5.145600128E1,0.000000000E0
4.198776280E1,5.233076825E1,4.869211720E0,-3.155652039E2,6.600000262E-1,1.100000024E0,5.038400269E1,0.000000000E0
4.299491202E1,5.233077691E1,4.869182000E0,-3.039376709E2,6.600000262E-1,2.953999939E2,5.038400269E1,0.000000000E0
4.399659774E1,5.233077956E1,4.869158930E0,-1.596639893E2,6.600000262E-1,2.806000061E2,5.038400269E1,0.000000000E0
4.499396514E1,5.233078290E1,4.869143160E0,-1.627941772E2,6.600000262E-1,2.891000061E2,5.038400269E1,0.000000000E0
4.599026363E1,5.233078453E1,4.869132850E0,-1.581853516E2,6.700000167E-1,2.845000000E2,5.038400269E1,0.000000000E0
4.699918191E1,5.233078079E1,4.869124150E0,-1.584333374E2,6.700000167E-1,2.350000000E2,5.038400269E1,0.000000000E0
4.798808941E1,5.233077336E1,4.869127640E0,-1.591293518E2,6.800000072E-1,1.638999939E2,5.038400269E1,0.000000000E0
4.899433988E1,5.233076908E1,4.869135410E0,-1.626721375E2,6.700000167E-1,1.318999939E2,5.038400269E1,0.000000000E0
4.999342701E1,5.233076298E1,4.869147590E0,-1.646875183E2,6.700000167E-1,1.293000031E2,5.038400269E1,0.000000000E0
5.099144758E1,5.233075717E1,4.869163790E0,-1.667028992E2,6.800000072E-1,1.203000031E2,5.038400269E1,0.000000000E0
5.198770045E1,5.233075362E1,4.869176430E0,-1.687183105E2,6.899999976E-1,1.145999985E2,5.038400269E1,0.000000000E0
5.298928566E1,5.233076124E1,4.869191180E0,-1.707336914E2,8.500000238E-1,4.990000153E1,5.145600128E1,0.000000000E0
5.398792201E1,5.233077022E1,4.869198220E0,-1.713933594E2,8.500000238E-1,2.570000076E1,5.145600128E1,0.000000000E0
5.498738045E1,5.233077924E1,4.869191320E0,-1.734028503E2,8.299999833E-1,3.348999939E2,5.145600128E1,0.000000000E0
5.599108310E1,5.233078220E1,4.869179420E0,-1.753865234E2,8.299999833E-1,2.921000061E2,5.145600128E1,0.000000000E0
5.698815805E1,5.233079461E1,4.869173570E0,-1.723456909E2,8.299999833E-1,3.438999939E2,5.145600128E1,0.000000000E0
5.799188060E1,5.233079563E1,4.869152480E0,-1.753178894E2,8.199999928E-1,2.745000000E2,5.145600128E1,0.000000000E0
5.899611638E1,5.233079618E1,4.869126030E0,-1.744107544E2,8.500000238E-1,2.718999939E2,5.145600128E1,0.000000000E0
5.998819857E1,5.233078761E1,4.869113270E0,-1.760682251E2,8.299999833E-1,2.223999939E2,5.145600128E1,0.000000000E0
6.098993310E1,5.233077968E1,4.869117740E0,-1.777239258E2,8.199999928E-1,1.608999939E2,5.145600128E1,0.000000000E0
6.199314305E1,5.233077588E1,4.869121130E0,-1.793795654E2,7.900000215E-1,1.513999939E2,5.145600128E1,0.000000000E0
6.299308331E1,5.233077251E1,4.869131460E0,-1.810352356E2,8.000000119E-1,1.180000000E2,5.145600128E1,0.000000000E0
6.399126654E1,5.233076883E1,4.869141430E0,-1.826909058E2,8.199999928E-1,1.210999985E2,5.145600128E1,0.000000000E0
6.499965711E1,5.233076395E1,4.869151160E0,-1.843465759E2,8.199999928E-1,1.293000031E2,5.145600128E1,0.000000000E0
6.598363622E1,5.233076928E1,4.869160930E0,-1.860022461E2,8.299999833E-1,4.829999924E1,5.145600128E1,0.000000000E0
6.699060987E1,5.233077549E1,4.869163140E0,-1.876578857E2,8.299999833E-1,1.230000019E1,5.145600128E1,0.000000000E0
6.799677883E1,5.233078320E1,4.869161210E0,-1.893135864E2,8.299999833E-1,3.512999878E2,5.145600128E1,0.000000000E0
6.898948294E1,5.233079111E1,4.869163670E0,-1.909692261E2,8.299999833E-1,1.080000019E1,5.145600128E1,0.000000000E0
6.999798805E1,5.233079740E1,4.869167320E0,-1.926248962E2,8.399999738E-1,1.960000038E1,5.145600128E1,0.000000000E0
7.099614253E1,5.233080424E1,4.869172060E0,-1.942805664E2,8.700000048E-1,2.300000000E1,5.145600128E1,0.000000000E0
7.200252357E1,5.233081216E1,4.869175950E0,-1.959362061E2,8.899999857E-1,1.679999924E1,5.252799988E1,0.000000000E0
7.299096825E1,5.233081980E1,4.869170420E0,-1.975919067E2,8.899999857E-1,3.361000061E2,5.252799988E1,0.000000000E0
7.400302799E1,5.233082150E1,4.869158070E0,-1.992475464E2,7.099999785E-1,2.827000122E2,5.252799988E1,0.000000000E0
7.499532851E1,5.233081751E1,4.869146750E0,-2.009032166E2,7.099999785E-1,2.401000061E2,5.252799988E1,0.000000000E0
7.598964382E1,5.233081629E1,4.869134910E0,-2.025588867E2,7.099999785E-1,2.605000000E2,5.252799988E1,0.000000000E0
7.699931002E1,5.233081789E1,4.869122270E0,-2.042145569E2,7.799999714E-1,2.845000000E2,5.252799988E1,0.000000000E0
7.799684450E1,5.233081981E1,4.869108970E0,-2.058702271E2,8.500000238E-1,2.772999878E2,5.252799988E1,0.000000000E0
7.899831060E1,5.233081960E1,4.869094620E0,-2.075258667E2,9.300000072E-1,2.612000122E2,5.252799988E1,0.000000000E0
7.999100768E1,5.233081666E1,4.869080760E0,-2.091815674E2,9.399999976E-1,2.470000000E2,5.252799988E1,0.000000000E0
8.099341231E1,5.233081023E1,4.869076150E0,-2.304081299E2,9.300000072E-1,2.006000061E2,5.252799988E1,0.000000000E0
8.199369174E1,5.233080137E1,4.869073970E0,-2.493662903E2,8.999999762E-1,1.986000061E2,5.252799988E1,0.000000000E0
8.299300747E1,5.233079241E1,4.869070300E0,-3.325889465E2,8.799999952E-1,1.978000031E2,5.252799988E1,0.000000000E0
8.399085382E1,5.233078241E1,4.869065850E0,-4.305987427E2,8.399999738E-1,1.965000000E2,5.252799988E1,0.000000000E0
8.499260710E1,5.233077442E1,4.869063050E0,-3.291918823E2,8.299999833E-1,1.958000031E2,5.360000229E1,0.000000000E0
8.599134236E1,5.233076643E1,4.869060000E0,-3.755959961E2,8.000000119E-1,1.946000061E2,5.360000229E1,0.000000000E0
8.698821252E1,5.233075747E1,4.869053080E0,-3.820454895E2,7.900000215E-1,1.913999939E2,5.252799988E1,0.000000000E0
8.798888585E1,5.233075288E1,4.869046420E0,-3.633236877E2,0.000000000E0,0.000000000E0,5.252799988E1,0.000000000E0
8.899465903E1,5.233075211E1,4.869042110E0,-3.633356812E2,0.000000000E0,0.000000000E0,5.252799988E1,0.000000000E0
8.999660085E1,5.233075149E1,4.869038670E0,-3.633438599E2,0.000000000E0,0.000000000E0,5.252799988E1,0.000000000E0
9.099176205E1,5.233075100E1,4.869035910E0,-3.633493530E2,0.000000000E0,0.000000000E0,5.360000229E1,0.000000000E0
9.199271825E1,5.233075060E1,4.869033710E0,-3.633529541E2,0.000000000E0,0.000000000E0,5.360000229E1,0.000000000E0
9.299900778E1,5.233075029E1,4.869031940E0,-3.633571960E2,0.000000000E0,0.000000000E0,5.360000229E1,0.000000000E0
9.399498752E1,5.233075004E1,4.869030530E0,-3.633597900E2,0.000000000E0,0.000000000E0,5.467200089E1,0.000000000E0
9.499153444E1,5.233074983E1,4.869029400E0,-3.633631470E2,0.000000000E0,0.000000000E0,5.467200089E1,0.000000000E0
9.599379043E1,5.233074967E1,4.869028500E0,-3.633612549E2,0.000000000E0,0.000000000E0,5.467200089E1,0.000000000E0
9.699634309E1,5.233074955E1,4.869027780E0,-3.633613464E2,0.000000000E0,0.000000000E0,5.467200089E1,0.000000000E0
9.799462522E1,5.233074944E1,4.869027200E0,-3.633593323E2,0.000000000E0,0.000000000E0,5.467200089E1,0.000000000E0
9.899352215E1,5.233074936E1,4.869026740E0,-3.633597900E2,0.000000000E0,0.000000000E0,5.574400330E1,0.000000000E0
9.999188444E1,5.233074929E1,4.869026370E0,-3.633596375E2,0.000000000E0,0.000000000E0,5.574400330E1,0.000000000E0
1.010047518E2,5.233074924E1,4.869026070E0,-3.633595459E2,0.000000000E0,0.000000000E0,5.574400330E1,0.000000000E0
1.019901843E2,5.233074920E1,4.869025830E0,-3.633597595E2,0.000000000E0,0.000000000E0,5.574400330E1,0.000000000E0
1.029925714E2,5.233074917E1,4.869025640E0,-3.633596985E2,0.000000000E0,0.000000000E0,5.574400330E1,0.000000000E0
1.039880273E2,5.233074914E1,4.869025490E0,-3.633596985E2,0.000000000E0,0.000000000E0,5.681600189E1,0.000000000E0
1.050062131E2,5.233074912E1,4.869025370E0,-3.633596069E2,0.000000000E0,0.000000000E0,5.681600189E1,0.000000000E0
1.059918324E2,5.233074910E1,4.869025270E0,-3.633596985E2,0.000000000E0,0.000000000E0,5.681600189E1,0.000000000E0
1.069919527E2,5.233074909E1,4.869025200E0,-3.633596985E2,0.000000000E0,0.000000000E0,5.681600189E1,0.000000000E0
1.079978893E2,5.233074908E1,4.869025130E0,-3.633596985E2,0.000000000E0,0.000000000E0,5.681600189E1,0.000000000E0
1.089930148E2,5.233074907E1,4.869025080E0,-3.633597595E2,0.000000000E0,0.000000000E0,5.788800049E1,0.000000000E0
1.099878107E2,5.233074906E1,4.869025040E0,-3.633597595E2,0.000000000E0,0.000000000E0,5.788800049E1,0.000000000E0
1.109922461E2,5.233074905E1,4.869025010E0,-3.633597595E2,0.000000000E0,0.000000000E0,5.788800049E1,0.000000000E0
1.119890127E2,5.233074910E1,4.869024990E0,-3.638195374E2,0.000000000E0,0.000000000E0,5.788800049E1,0.000000000E0
1.129922828E2,5.233074915E1,4.869025010E0,-3.644571411E2,0.000000000E0,0.000000000E0,5.896000290E1,0.000000000E0
1.140052284E2,5.233074920E1,4.869025020E0,-3.644569275E2,0.000000000E0,0.000000000E0,5.896000290E1,0.000000000E0
1.149875110E2,5.233074924E1,4.869025030E0,-3.644568970E2,0.000000000E0,0.000000000E0,5.896000290E1,0.000000000E0
1.159965268E2,5.233074927E1,4.869025040E0,-3.644569275E2,0.000000000E0,0.000000000E0,6.003200150E1,0.000000000E0
