"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
0.000000000E0,-2.120056152E1,-1.840209961E0,-1.671142578E1
1.995849600E-2,-2.189941406E1,-1.152038574E0,-1.529235840E1
3.994751000E-2,-2.190856934E1,-1.150512695E0,-1.600646973E1
5.990600600E-2,-2.191619873E1,-2.542114258E0,-1.598815918E1
7.992553700E-2,-1.904907227E1,-1.826477051E0,-1.742858887E1
9.988403300E-2,-2.049407959E1,-2.531433105E0,-1.741790771E1
1.202392580E-1,-2.050170898E1,-2.528381348E0,-1.813201904E1
1.398925780E-1,-1.903533936E1,-1.132202148E0,-1.672363281E1
1.598815920E-1,-1.974334717E1,-4.425048828E-1,-1.601867676E1
1.798706060E-1,-1.906585693E1,-1.821899414E0,-1.885833740E1
1.998291020E-1,-2.046356201E1,-4.455566406E-1,-1.601715088E1
2.198181150E-1,-1.902313232E1,9.567260742E-1,-1.675262451E1
2.398071290E-1,-2.048492432E1,-1.138305664E0,-1.743621826E1
2.597961430E-1,-1.979522705E1,-3.218078613E0,-1.883850098E1
2.802124020E-1,-2.192077637E1,-1.844787598E0,-1.671142578E1
2.998657230E-1,-1.902770996E1,2.593994141E-1,-1.674346924E1
3.198242190E-1,-1.528167725E1,1.824951172E0,-1.658782959E1
3.397827150E-1,-1.457824707E1,3.228759766E0,-1.875152588E1
3.597717290E-1,-1.528625488E1,3.919982910E0,-1.804504395E1
3.797607420E-1,-1.382446289E1,6.013488770E0,-1.735992432E1
3.997192380E-1,-1.453094482E1,6.704711914E0,-1.665496826E1
4.206542970E-1,-1.383209229E1,6.016540527E0,-1.807556152E1
4.400329590E-1,-1.092224121E1,1.090698242E1,-1.814422607E1
4.598999020E-1,-1.162414551E1,1.089782715E1,-1.671447754E1
4.796752930E-1,-1.092987061E1,1.090850830E1,-1.885833740E1
4.996643070E-1,-8.049011230E0,1.231842041E1,-1.959533691E1
5.196533200E-1,-6.600952148E0,1.371917725E1,-1.961517334E1
5.396423340E-1,-6.584167480E0,1.510925293E1,-1.891937256E1
5.596313480E-1,-7.290649414E0,1.440429688E1,-1.748046875E1
5.796203610E-1,-5.845642090E0,1.510772705E1,-1.749267578E1
5.999755860E-1,-7.269287109E0,1.649169922E1,-1.679534912E1
6.198730470E-1,-7.968139648E0,1.717987061E1,-1.537475586E1
6.396484380E-1,-9.413146973E0,1.647491455E1,-1.536254883E1
6.596374510E-1,-1.652984619E1,8.399963379E0,-1.470947266E1
6.795654300E-1,-1.798706055E1,7.000732422E0,-1.540374756E1
6.995544430E-1,-2.015228271E1,4.898071289E0,-1.465911865E1
7.195434570E-1,-1.873779297E1,3.517150879E0,-1.607055664E1
7.395324710E-1,-1.875000000E1,4.219055176E0,-1.750793457E1
7.595214840E-1,-1.658172607E1,4.228210449E0,-1.679687500E1
7.798156740E-1,-1.588287354E1,3.540039062E0,-1.821746826E1
7.994995120E-1,-1.587066650E1,7.023620605E0,-1.897735596E1
8.195190430E-1,-1.443328857E1,4.940795898E0,-1.823730469E1
8.394775390E-1,-1.517028809E1,2.149963379E0,-1.819915771E1
8.594665530E-1,-1.518859863E1,2.156066895E0,-1.962738037E1
8.794555670E-1,-1.589050293E1,2.146911621E0,-1.819763184E1
8.994445800E-1,-1.659393311E1,2.137756348E0,-1.676788330E1
9.194641110E-1,-1.731414795E1,3.529357910E0,-1.750030518E1
9.398193360E-1,-1.658935547E1,2.835083008E0,-1.677856445E1
9.595031740E-1,-1.515808105E1,4.240417480E0,-1.822662354E1
9.794006350E-1,-1.659393311E1,2.137756348E0,-1.676788330E1
9.994201660E-1,-1.377868652E1,8.660888672E0,-1.801757812E1
1.019378662E0,-1.232452393E1,9.361267090E0,-1.731414795E1
1.039367676E0,-1.307067871E1,9.365844727E0,-1.945648193E1
1.059356690E0,-1.302795410E1,9.353637695E0,-1.588592529E1
1.079345703E0,-1.235046387E1,7.974243164E0,-1.872558594E1
1.099670410E0,-1.378173828E1,7.963562012E0,-1.800842285E1
1.119476318E0,-1.377410889E1,9.356689453E0,-1.802673340E1
1.139343262E0,-1.233367920E1,7.968139648E0,-1.729583740E1
1.159332275E0,-1.091918945E1,7.983398438E0,-1.944122314E1
1.179290772E0,-1.015930176E1,7.278442383E0,-1.586151123E1
1.199279785E0,-1.091003418E1,7.980346680E0,-1.872711182E1
1.219329834E0,-1.306152344E1,7.968139648E0,-1.800994873E1
1.239257813E0,-1.232910156E1,8.665466309E0,-1.730499268E1
1.259643555E0,-1.448974609E1,7.258605957E0,-1.656951904E1
1.279510498E0,-1.422119141E1,5.670166016E0,-1.864471436E1
1.299255371E0,-1.351776123E1,4.283142090E0,-1.934051514E1
1.319274902E0,-1.306304932E1,9.558105469E0,-1.917724609E1
1.339202881E0,-1.660919189E1,1.011962891E1,-2.031402588E1
1.359191895E0,-1.589813232E1,8.729553223E0,-2.029724121E1
1.379180908E0,-1.661376953E1,9.422302246E0,-2.030487061E1
1.399169922E0,-1.518096924E1,8.036804199E0,-2.028808594E1
1.419158936E0,-1.515960693E1,8.729553223E0,-1.886901855E1
1.439483643E0,-1.805419922E1,9.416198730E0,-2.030334473E1
1.459167481E0,-1.730804443E1,9.411621094E0,-1.816101074E1
1.479125977E0,-1.661834717E1,8.726501465E0,-2.029571533E1
1.499176025E0,-1.659698486E1,1.081390381E1,-1.960906982E1
1.519134522E0,-1.731719971E1,1.080932617E1,-1.960906982E1
1.539123535E0,-1.802368164E1,1.150054932E1,-1.890258789E1
1.559082031E0,-1.587982178E1,1.012115479E1,-1.960144043E1
1.579071045E0,-1.661376953E1,9.422302246E0,-2.030487061E1
1.599487305E0,-1.208496094E1,7.560729980E0,-1.713409424E1
1.619140625E0,-1.206359863E1,9.648132324E0,-1.644744873E1
1.639068604E0,-1.278076172E1,1.034088135E1,-1.645660400E1
1.659027100E0,-1.377716064E1,7.456970215E0,-1.560668945E1
1.679016113E0,-1.451110840E1,6.759643555E0,-1.631011963E1
