sensor_type,device_type,timestamps,illuminance
light,smartphone,1529417820000000000,42.0
light,smartphone,1529417820202833920,37.0
light,smartphone,1529417820405715200,58.0
light,smartphone,1529417820608596224,115.0
light,smartphone,1529417820811781888,261.0
light,smartphone,1529417821014296064,273.0
light,smartphone,1529417821217147136,266.0
light,smartphone,1529417821420058112,258.0
light,smartphone,1529417821622908160,254.0
light,smartphone,1529417821825881088,256.0
light,smartphone,1529417822231520000,247.0
light,smartphone,1529417822434371072,202.0
light,smartphone,1529417822637252096,48.0
light,smartphone,1529417822840132096,12.0
light,smartphone,1529417823042952192,11.0
light,smartphone,1529417823246077184,15.0
light,smartphone,1529417823448684032,19.0
light,smartphone,1529417823854415104,16.0
light,smartphone,1529417824260176128,15.0
light,smartphone,1529417824462966016,16.0
light,smartphone,1529417824665858816,15.0
light,smartphone,1529417824868708864,14.0
light,smartphone,1529417825071559936,11.0
light,smartphone,1529417825477260032,10.0
light,smartphone,1529417825680385024,8.0
light,smartphone,1529417825882991872,5.0
light,smartphone,1529417826491572992,6.0
light,smartphone,1529417826694483968,5.0
light,smartphone,1529417826897304064,2.0
light,smartphone,1529417827100550656,1.0
light,smartphone,1529417827303035904,2.0
light,smartphone,1529417828317317888,1.0
light,smartphone,1529417828723078912,3.0
light,smartphone,1529417828925929984,7.0
light,smartphone,1529417829331629824,5.0
light,smartphone,1529417829737391872,8.0
light,smartphone,1529417829940211968,7.0
light,smartphone,1529417830143122688,2.0
light,smartphone,1529417830548884992,1.0
light,smartphone,1529417830954524928,2.0
light,smartphone,1529417831157405952,1.0
light,smartphone,1529417832374537728,2.0
light,smartphone,1529417832983364096,1.0
light,smartphone,1529417833186000896,2.0
light,smartphone,1529417833388850944,1.0
light,smartphone,1529417833794612736,2.0
light,smartphone,1529417833997523968,1.0
light,smartphone,1529417834200373760,2.0
light,smartphone,1529417834606112000,1.0
light,smartphone,1529417835011812096,0.0
light,smartphone,1529417835417604864,1.0
light,smartphone,1529417836229037056,0.0
light,smartphone,1529417839272036096,1.0
light,smartphone,1529417840083528960,0.0
light,smartphone,1529417844343691264,1.0
light,smartphone,1529417844749385984,0.0
light,smartphone,1529417855298748928,1.0
light,smartphone,1529417856516400128,0.0
light,smartphone,1529417859153485056,1.0
light,smartphone,1529417862196607232,2.0
light,smartphone,1529417862399488000,1.0
light,smartphone,1529417884310365952,2.0
