sensor_type,device_type,timestamps,x,y,z
magnetometer,smartphone,1529417820000000000,-21.20056152,-1.840209961,-16.71142578
magnetometer,smartphone,1529417820019958016,-21.89941406,-1.152038574,-15.2923584
magnetometer,smartphone,1529417820039948032,-21.90856934,-1.150512695,-16.00646973
magnetometer,smartphone,1529417820059906048,-21.91619873,-2.542114258,-15.98815918
magnetometer,smartphone,1529417820079926016,-19.04907227,-1.826477051,-17.42858887
magnetometer,smartphone,1529417820099884032,-20.49407959,-2.531433105,-17.41790771
magnetometer,smartphone,1529417820120239104,-20.50170898,-2.528381348,-18.13201904
magnetometer,smartphone,1529417820139892992,-19.03533936,-1.132202148,-16.72363281
magnetometer,smartphone,1529417820159881984,-19.74334717,-0.4425048828,-16.01867676
magnetometer,smartphone,1529417820179870976,-19.06585693,-1.821899414,-18.8583374
magnetometer,smartphone,1529417820199828992,-20.46356201,-0.4455566406,-16.01715088
magnetometer,smartphone,1529417820219818240,-19.02313232,0.9567260742,-16.75262451
magnetometer,smartphone,1529417820239806976,-20.48492432,-1.138305664,-17.43621826
magnetometer,smartphone,1529417820259795968,-19.79522705,-3.218078613,-18.83850098
magnetometer,smartphone,1529417820280211968,-21.92077637,-1.844787598,-16.71142578
magnetometer,smartphone,1529417820299865856,-19.02770996,0.2593994141,-16.74346924
magnetometer,smartphone,1529417820319823872,-15.28167725,1.824951172,-16.58782959
magnetometer,smartphone,1529417820339782912,-14.57824707,3.228759766,-18.75152588
magnetometer,smartphone,1529417820359771904,-15.28625488,3.91998291,-18.04504395
magnetometer,smartphone,1529417820379760896,-13.82446289,6.01348877,-17.35992432
magnetometer,smartphone,1529417820399718912,-14.53094482,6.704711914,-16.65496826
magnetometer,smartphone,1529417820420654080,-13.83209229,6.016540527,-18.07556152
magnetometer,smartphone,1529417820440033024,-10.92224121,10.90698242,-18.14422607
magnetometer,smartphone,1529417820459899904,-11.62414551,10.89782715,-16.71447754
magnetometer,smartphone,1529417820479675136,-10.92987061,10.9085083,-18.8583374
magnetometer,smartphone,1529417820499664128,-8.04901123,12.31842041,-19.59533691
magnetometer,smartphone,1529417820519653120,-6.600952148,13.71917725,-19.61517334
magnetometer,smartphone,1529417820539642112,-6.58416748,15.10925293,-18.91937256
magnetometer,smartphone,1529417820559631104,-7.290649414,14.40429688,-17.48046875
magnetometer,smartphone,1529417820579619840,-5.84564209,15.10772705,-17.49267578
magnetometer,smartphone,1529417820599976192,-7.269287109,16.49169922,-16.79534912
magnetometer,smartphone,1529417820619873024,-7.968139648,17.17987061,-15.37475586
magnetometer,smartphone,1529417820639648000,-9.413146973,16.47491455,-15.36254883
magnetometer,smartphone,1529417820659636992,-16.52984619,8.399963379,-14.70947266
magnetometer,smartphone,1529417820679565056,-17.98706055,7.000732422,-15.40374756
magnetometer,smartphone,1529417820699554048,-20.15228271,4.898071289,-14.65911865
magnetometer,smartphone,1529417820719543040,-18.73779297,3.517150879,-16.07055664
magnetometer,smartphone,1529417820739532032,-18.75,4.219055176,-17.50793457
magnetometer,smartphone,1529417820759521024,-16.58172607,4.228210449,-16.796875
magnetometer,smartphone,1529417820779815936,-15.88287354,3.540039062,-18.21746826
magnetometer,smartphone,1529417820799500032,-15.8706665,7.023620605,-18.97735596
magnetometer,smartphone,1529417820819518976,-14.43328857,4.940795898,-18.23730469
magnetometer,smartphone,1529417820839478016,-15.17028809,2.149963379,-18.19915771
magnetometer,smartphone,1529417820859467008,-15.18859863,2.156066895,-19.62738037
magnetometer,smartphone,1529417820879456000,-15.89050293,2.146911621,-18.19763184
magnetometer,smartphone,1529417820899444992,-16.59393311,2.137756348,-16.7678833
magnetometer,smartphone,1529417820919464192,-17.31414795,3.52935791,-17.50030518
magnetometer,smartphone,1529417820939819008,-16.58935547,2.835083008,-16.77856445
magnetometer,smartphone,1529417820959502848,-15.15808105,4.24041748,-18.22662354
magnetometer,smartphone,1529417820979401216,-16.59393311,2.137756348,-16.7678833
magnetometer,smartphone,1529417820999419904,-13.77868652,8.660888672,-18.01757812
magnetometer,smartphone,1529417821019378944,-12.32452393,9.36126709,-17.31414795
magnetometer,smartphone,1529417821039367936,-13.07067871,9.365844727,-19.45648193
magnetometer,smartphone,1529417821059356928,-13.0279541,9.353637695,-15.88592529
magnetometer,smartphone,1529417821079345920,-12.35046387,7.974243164,-18.72558594
magnetometer,smartphone,1529417821099670016,-13.78173828,7.963562012,-18.00842285
magnetometer,smartphone,1529417821119475968,-13.77410889,9.356689453,-18.0267334
magnetometer,smartphone,1529417821139343104,-12.3336792,7.968139648,-17.2958374
magnetometer,smartphone,1529417821159332096,-10.91918945,7.983398438,-19.44122314
magnetometer,smartphone,1529417821179291136,-10.15930176,7.278442383,-15.86151123
magnetometer,smartphone,1529417821199280128,-10.91003418,7.98034668,-18.72711182
magnetometer,smartphone,1529417821219330048,-13.06152344,7.968139648,-18.00994873
magnetometer,smartphone,1529417821239258112,-12.32910156,8.665466309,-17.30499268
magnetometer,smartphone,1529417821259644160,-14.48974609,7.258605957,-16.56951904
magnetometer,smartphone,1529417821279510016,-14.22119141,5.670166016,-18.64471436
magnetometer,smartphone,1529417821299254784,-13.51776123,4.28314209,-19.34051514
magnetometer,smartphone,1529417821319275008,-13.06304932,9.558105469,-19.17724609
magnetometer,smartphone,1529417821339202816,-16.60919189,10.11962891,-20.31402588
magnetometer,smartphone,1529417821359191808,-15.89813232,8.729553223,-20.29724121
magnetometer,smartphone,1529417821379180800,-16.61376953,9.422302246,-20.30487061
magnetometer,smartphone,1529417821399170048,-15.18096924,8.036804199,-20.28808594
magnetometer,smartphone,1529417821419159040,-15.15960693,8.729553223,-18.86901855
magnetometer,smartphone,1529417821439483904,-18.05419922,9.41619873,-20.30334473
magnetometer,smartphone,1529417821459166976,-17.30804443,9.411621094,-18.16101074
