"Time (s)","Illuminance (lx)"
0.000000000E0,1.365300000E4
4.036368990E-1,1.470900000E4
6.065787940E-1,1.596800000E4
8.094291360E-1,1.771500000E4
1.012706724E0,1.727400000E4
1.215312925E0,1.766400000E4
1.418163267E0,2.053600000E4
1.621105161E0,2.113100000E4
1.823986020E0,2.121300000E4
2.026927915E0,2.125400000E4
2.229808774E0,2.034400000E4
2.432872739E0,1.984100000E4
2.635631528E0,1.794900000E4
2.838512388E0,1.611000000E4
3.041454282E0,1.514600000E4
3.244396177E0,1.535400000E4
3.447338071E0,1.742400000E4
3.650218931E0,1.930800000E4
3.853191343E0,1.914600000E4
4.056102720E0,1.502300000E4
4.259197202E0,1.588700000E4
4.461894956E0,1.480000000E4
4.664806333E0,1.027200000E4
4.867748228E0,1.243600000E4
5.070629087E0,1.859000000E4
5.273570981E0,1.669800000E4
5.476451841E0,9.783000000E3
5.679363218E0,1.054000000E3
5.882366147E0,2.320000000E2
6.288097349E0,4.040000000E2
6.491039243E0,3.720000000E2
6.693950620E0,2.480000000E2
6.896831479E0,2.160000000E2
7.099742856E0,2.820000000E2
7.302684751E0,2.500000000E2
7.505718198E0,2.860000000E2
7.708446470E0,4.090000000E2
7.911366617E0,4.390000000E2
8.114247477E0,3.210000000E2
8.317158854E0,2.290000000E2
8.520070231E0,2.640000000E2
8.722951090E0,2.630000000E2
8.925892984E0,2.670000000E2
9.128743326E0,4.350000000E2
9.332020914E0,4.490000000E2
9.534566080E0,3.270000000E2
9.737477457E0,2.160000000E2
9.940358316E0,2.880000000E2
1.014326969E1,2.490000000E2
1.034621159E1,3.570000000E2
1.054906193E1,4.860000000E2
1.075221745E1,4.400000000E2
1.095491520E1,2.500000000E2
1.115779606E1,2.450000000E2
1.136073796E1,3.000000000E2
1.156361881E1,2.380000000E2
1.176656071E1,3.680000000E2
1.196941105E1,4.410000000E2
1.217244450E1,3.750000000E2
1.237523380E1,3.680000000E2
1.257808415E1,3.810000000E2
1.278099552E1,3.910000000E2
1.298390690E1,4.010000000E2
1.318684880E1,4.370000000E2
1.338969914E1,4.480000000E2
1.359264103E1,4.400000000E2
1.379552189E1,4.560000000E2
1.399876896E1,4.490000000E2
1.420131413E1,4.760000000E2
1.440422550E1,5.090000000E2
1.460722843E1,5.290000000E2
1.481004826E1,5.610000000E2
1.501299015E1,5.600000000E2
1.521587101E1,5.670000000E2
1.541893498E1,6.020000000E2
1.562166325E1,6.140000000E2
1.582457462E1,5.230000000E2
1.602754704E1,3.860000000E2
1.623039738E1,3.570000000E2
1.643330876E1,3.490000000E2
1.663622013E1,3.600000000E2
1.683919254E1,4.910000000E2
1.704201237E1,6.180000000E2
1.724532048E1,6.430000000E2
1.744783512E1,4.500000000E2
1.765074650E1,3.220000000E2
1.785372488E1,3.840000000E2
1.805660574E1,3.870000000E2
1.825951712E1,5.870000000E2
1.846242849E1,6.830000000E2
1.866588918E1,6.410000000E2
1.886819021E1,6.600000000E2
1.907110159E1,6.550000000E2
1.927401296E1,6.740000000E2
1.947692434E1,7.710000000E2
1.967983572E1,6.820000000E2
1.988271658E1,4.160000000E2
2.008578054E1,4.090000000E2
2.028850881E1,3.760000000E2
2.049144586E1,2.940000000E2
2.069432672E1,4.160000000E2
2.089723810E1,7.520000000E2
2.110014948E1,9.600000000E2
2.130306085E1,6.650000000E2
2.150597223E1,5.180000000E2
2.170882257E1,4.630000000E2
2.191213068E1,7.270000000E2
2.211464533E1,1.038000000E3
2.231752619E1,9.620000000E2
2.252043756E1,4.830000000E2
2.272334894E1,4.780000000E2
2.292626032E1,5.030000000E2
2.312914118E1,4.170000000E2
2.333229669E1,8.510000000E2
2.353496393E1,9.210000000E2
2.373787531E1,6.100000000E2
2.394075616E1,3.800000000E2
2.414369806E1,5.060000000E2
2.434663995E1,4.080000000E2
2.454952081E1,7.920000000E2
2.475255426E1,9.290000000E2
2.495537409E1,7.180000000E2
2.515865167E1,3.340000000E2
2.536119684E1,4.650000000E2
2.556407770E1,4.010000000E2
2.576701959E1,5.370000000E2
2.596986994E1,8.940000000E2
2.617281183E1,9.920000000E2
2.637572321E1,9.520000000E2
2.657887872E1,8.990000000E2
2.678151544E1,8.560000000E2
2.698442682E1,8.470000000E2
2.718739923E1,7.750000000E2
2.739021906E1,6.650000000E2
2.759313043E1,4.530000000E2
2.779601129E1,3.040000000E2
2.799909876E1,3.440000000E2
2.820182703E1,3.020000000E2
2.840476893E1,2.850000000E2
2.860768031E1,2.660000000E2
2.881065272E1,2.480000000E2
2.901356409E1,2.700000000E2
2.921644495E1,2.770000000E2
2.941941736E1,5.050000000E2
2.962226771E1,5.790000000E2
2.982545374E1,3.890000000E2
3.002805994E1,2.940000000E2
3.023097132E1,3.570000000E2
3.043388270E1,2.840000000E2
3.063676356E1,4.710000000E2
3.083970545E1,6.870000000E2
3.104255579E1,4.860000000E2
3.124568079E1,3.840000000E2
3.144834803E1,4.170000000E2
3.165128992E1,3.670000000E2
3.185417078E1,6.560000000E2
3.205711268E1,6.180000000E2
3.225996302E1,3.180000000E2
3.246287440E1,2.810000000E2
3.266590784E1,1.970000000E2
3.286869715E1,4.270000000E2
3.307157801E1,5.600000000E2
3.327448939E1,4.120000000E2
3.347740076E1,3.040000000E2
3.368031214E1,3.160000000E2
3.388319300E1,2.800000000E2
3.408613490E1,4.400000000E2
3.428895472E1,3.810000000E2
3.449226282E1,2.080000000E2
3.469474696E1,2.290000000E2
3.489762781E1,1.620000000E2
3.510056971E1,1.930000000E2
3.530342005E1,1.620000000E2
3.550636194E1,1.020000000E2
3.570921229E1,8.000000000E1
3.591248988E1,7.200000000E1
3.611503504E1,9.000000000E1
3.631791590E1,8.100000000E1
3.652082728E1,5.500000000E1
3.672373865E1,4.000000000E1
3.692665003E1,4.400000000E1
3.712950037E1,7.100000000E1
3.733271693E1,1.100000000E2
3.753535364E1,1.070000000E2
3.773820399E1,6.700000000E1
3.794106827E1,9.200000000E1
3.814397964E1,1.470000000E2
3.834695206E1,2.880000000E2
3.854977188E1,2.960000000E2
3.875292740E1,1.770000000E2
3.895565567E1,2.310000000E2
3.915850601E1,2.160000000E2
3.936141739E1,4.120000000E2
3.956432877E1,3.950000000E2
3.976724014E1,2.210000000E2
3.997009048E1,2.850000000E2
4.017318497E1,2.310000000E2
4.037591324E1,3.460000000E2
4.057879410E1,3.040000000E2
4.078167496E1,1.710000000E2
4.098458633E1,1.510000000E2
4.118746719E1,1.710000000E2
4.139037857E1,3.640000000E2
4.159335098E1,4.500000000E2
4.179623184E1,2.430000000E2
4.199947891E1,2.980000000E2
4.220202408E1,2.850000000E2
4.240493546E1,5.080000000E2
4.260787735E1,5.200000000E2
4.281075821E1,2.670000000E2
4.301370010E1,2.990000000E2
4.321651993E1,2.530000000E2
4.341967544E1,3.050000000E2
4.362231216E1,2.040000000E2
4.382522354E1,1.120000000E2
4.402813492E1,1.420000000E2
4.423135147E1,1.800000000E2
4.443395767E1,3.720000000E2
4.463680801E1,4.280000000E2
4.483990250E1,2.470000000E2
4.504263077E1,2.500000000E2
4.524551163E1,2.120000000E2
4.544836197E1,3.260000000E2
4.565124283E1,3.540000000E2
4.585418472E1,2.210000000E2
4.605700455E1,1.770000000E2
4.626006851E1,1.420000000E2
4.646282730E1,1.800000000E2
4.666573868E1,1.720000000E2
4.686861954E1,9.700000000E1
4.707153091E1,6.100000000E1
4.727441177E1,5.200000000E1
4.747726212E1,6.500000000E1
4.768032608E1,7.500000000E1
4.788309190E1,6.200000000E1
4.808597276E1,3.700000000E1
4.828915880E1,4.900000000E1
4.849173448E1,1.110000000E2
4.869467638E1,1.920000000E2
4.889749620E1,2.070000000E2
4.910056017E1,1.210000000E2
4.930334947E1,1.740000000E2
4.950665758E1,3.450000000E2
4.970914171E1,5.930000000E2
4.991202257E1,6.020000000E2
5.011493395E1,4.220000000E2
5.031778429E1,4.050000000E2
5.052072618E1,6.640000000E2
5.072357652E1,8.570000000E2
5.092685411E1,8.190000000E2
5.112930773E1,6.330000000E2
5.133221910E1,4.410000000E2
5.153513048E1,4.670000000E2
5.173798082E1,7.150000000E2
5.194095323E1,7.830000000E2
5.214377306E1,5.670000000E2
5.234735582E1,3.670000000E2
5.254950426E1,3.680000000E2
5.275238512E1,4.220000000E2
5.295529649E1,6.160000000E2
5.315814684E1,6.060000000E2
5.336111925E1,3.430000000E2
5.356393907E1,2.750000000E2
5.376724718E1,2.720000000E2
5.396973131E1,2.850000000E2
5.417261217E1,3.540000000E2
5.437555406E1,2.820000000E2
5.457840440E1,1.430000000E2
5.478128526E1,1.330000000E2
5.498416612E1,1.570000000E2
5.518741319E1,2.760000000E2
5.538992784E1,2.340000000E2
5.559283922E1,1.240000000E2
5.579575060E1,1.220000000E2
5.599863146E1,9.900000000E1
5.620160387E1,2.000000000E2
5.640466783E1,2.310000000E2
5.660760973E1,1.800000000E2
5.681015489E1,1.660000000E2
5.701303575E1,1.540000000E2
5.721591661E1,2.480000000E2
5.741879747E1,3.640000000E2
5.762170885E1,2.850000000E2
5.802784046E1,2.340000000E2
5.823032459E1,2.670000000E2
5.843317493E1,3.990000000E2
5.863602527E1,3.050000000E2
5.883890613E1,2.080000000E2
5.904193958E1,2.090000000E2
5.924463733E1,2.350000000E2
5.944751819E1,3.310000000E2
5.965036853E1,2.620000000E2
5.985324939E1,1.890000000E2
6.005613025E1,1.860000000E2
6.025898059E1,2.290000000E2
6.046213611E1,3.850000000E2
6.066477283E1,3.730000000E2
6.086762317E1,3.040000000E2
6.107053455E1,2.680000000E2
6.127341541E1,3.500000000E2
6.147629627E1,5.060000000E2
6.167917712E1,4.370000000E2
6.188233264E1,3.210000000E2
6.208493884E1,2.520000000E2
6.228785022E1,2.640000000E2
6.249076160E1,3.520000000E2
6.269367298E1,3.140000000E2
6.289655383E1,2.180000000E2
6.309943469E1,2.250000000E2
6.330246814E1,3.340000000E2
6.350516590E1,5.010000000E2
6.370804675E1,4.000000000E2
6.391092761E1,2.700000000E2
6.411383899E1,2.500000000E2
6.431671985E1,3.780000000E2
6.451957019E1,4.420000000E2
6.472266467E1,2.350000000E2
6.492530139E1,2.240000000E2
6.512818225E1,1.900000000E2
6.533106311E1,3.350000000E2
6.553397449E1,4.300000000E2
6.573682483E1,3.260000000E2
6.593967517E1,3.160000000E2
6.614280017E1,3.390000000E2
6.634543689E1,5.460000000E2
6.654831775E1,5.310000000E2
6.675122913E1,3.300000000E2
6.695407947E1,2.900000000E2
6.715699085E1,3.540000000E2
6.735987170E1,4.400000000E2
6.756299670E1,3.810000000E2
6.776566394E1,2.430000000E2
6.796850601E1,1.940000000E2
6.817138687E1,2.960000000E2
6.837426773E1,6.150000000E2
6.857720962E1,7.010000000E2
6.878002945E1,5.080000000E2
6.898315445E1,4.160000000E2
6.918579116E1,6.380000000E2
6.938864151E1,8.530000000E2
6.959155288E1,6.680000000E2
6.979440323E1,4.210000000E2
6.999752823E1,4.450000000E2
7.020016494E1,5.860000000E2
7.040335098E1,5.700000000E2
7.060589614E1,4.800000000E2
7.080874649E1,3.640000000E2
7.101165786E1,4.120000000E2
7.121447769E1,7.070000000E2
7.141741958E1,8.390000000E2
7.162023941E1,5.970000000E2
7.182351700E1,3.890000000E2
7.202594009E1,4.770000000E2
7.222882095E1,6.880000000E2
7.243170181E1,5.910000000E2
7.263455215E1,3.570000000E2
7.283755508E1,3.640000000E2
7.304028335E1,4.490000000E2
7.324310318E1,6.050000000E2
7.344598404E1,5.420000000E2
7.364886490E1,3.800000000E2
7.385174576E1,3.180000000E2
7.405456558E1,5.350000000E2
7.425775161E1,5.860000000E2
7.446035782E1,4.640000000E2
7.466320816E1,2.530000000E2
7.486608902E1,2.500000000E2
7.506896988E1,4.710000000E2
7.527185074E1,5.670000000E2
7.547467056E1,5.580000000E2
7.567788711E1,3.160000000E2
7.588037124E1,3.410000000E2
7.608319107E1,5.470000000E2
7.628604141E1,5.840000000E2
7.648892227E1,8.470000000E2
7.669198623E1,3.130000000E2
7.689459243E1,3.170000000E2
7.709747329E1,5.540000000E2
7.730038467E1,5.670000000E2
7.750317398E1,4.460000000E2
7.770605484E1,3.070000000E2
7.790891930E1,3.270000000E2
7.811216637E1,6.320000000E2
7.831461998E1,6.130000000E2
7.851747032E1,4.030000000E2
7.872038170E1,3.090000000E2
7.892317101E1,2.820000000E2
7.912620446E1,4.720000000E2
7.932893273E1,4.740000000E2
7.953239342E1,2.470000000E2
7.973460289E1,2.560000000E2
7.993748375E1,2.070000000E2
8.014045616E1,3.690000000E2
8.034318444E1,3.530000000E2
8.054637047E1,2.950000000E2
8.074888512E1,2.490000000E2
8.095173546E1,2.090000000E2
8.115461632E1,3.770000000E2
8.135743615E1,3.640000000E2
8.156040856E1,2.040000000E2
8.176310631E1,2.670000000E2
8.196598717E1,2.220000000E2
8.216883751E1,3.890000000E2
8.237165734E1,3.870000000E2
8.257453820E1,2.120000000E2
8.277735802E1,2.450000000E2
8.298060509E1,2.540000000E2
8.318305870E1,4.490000000E2
8.338590904E1,4.630000000E2
8.358882042E1,3.660000000E2
8.379154869E1,2.990000000E2
8.399464318E1,2.900000000E2
8.419727990E1,5.030000000E2
8.440009972E1,6.130000000E2
8.460298058E1,3.990000000E2
8.480580040E1,3.920000000E2
8.500874230E1,4.080000000E2
8.521147057E1,6.510000000E2
8.541474816E1,8.150000000E2
8.561720177E1,7.230000000E2
8.582005211E1,5.790000000E2
8.602293297E1,6.130000000E2
8.622578331E1,7.660000000E2
8.642893883E1,9.660000000E2
8.663148400E1,8.160000000E2
8.683433434E1,6.130000000E2
8.703721520E1,7.390000000E2
8.724003502E1,8.530000000E2
8.744291588E1,1.146000000E3
8.764576622E1,6.640000000E2
8.784902103E1,5.510000000E2
8.805147464E1,4.530000000E2
8.825432498E1,6.110000000E2
8.845720584E1,7.100000000E2
8.866002567E1,4.960000000E2
8.886308963E1,3.640000000E2
8.906575687E1,3.720000000E2
8.926857669E1,6.800000000E2
8.947142703E1,5.640000000E2
8.967430789E1,3.440000000E2
8.987715824E1,3.210000000E2
9.007997806E1,2.790000000E2
9.028319461E1,3.920000000E2
9.048598392E1,3.990000000E2
9.068849857E1,3.230000000E2
9.089134891E1,2.700000000E2
9.109416873E1,3.440000000E2
9.129723270E1,3.890000000E2
9.149983890E1,3.500000000E2
9.170271976E1,2.540000000E2
9.190560062E1,2.290000000E2
9.210835941E1,4.000000000E2
9.231130130E1,3.820000000E2
9.251406009E1,2.810000000E2
9.271691043E1,2.150000000E2
9.291979129E1,2.310000000E2
9.312261112E1,2.470000000E2
9.332546146E1,2.950000000E2
9.352825076E1,2.530000000E2
9.373146732E1,1.620000000E2
9.393398196E1,1.850000000E2
9.413680179E1,3.180000000E2
9.433968265E1,3.450000000E2
9.454253299E1,2.060000000E2
9.474550540E1,2.360000000E2
9.494820316E1,2.490000000E2
9.515102298E1,5.550000000E2
9.535387332E1,5.590000000E2
9.555672366E1,3.490000000E2
9.575960452E1,4.910000000E2
9.596239383E1,5.380000000E2
9.616567142E1,1.098000000E3
9.636809451E1,1.122000000E3
9.657091434E1,6.840000000E2
9.677379520E1,8.880000000E2
9.697658450E1,7.730000000E2
9.717967899E1,1.226000000E3
9.738231571E1,8.470000000E2
9.758516605E1,6.980000000E2
9.778798587E1,6.930000000E2
9.799085570E1,8.200000000E2
9.819370604E1,1.200000000E3
9.839649535E1,1.036000000E3
9.859934569E1,5.550000000E2
9.880222655E1,6.640000000E2
9.900504637E1,8.650000000E2
9.920789672E1,1.080000000E3
9.941074706E1,7.550000000E2
9.961387206E1,6.420000000E2
9.981644774E1,6.310000000E2
1.000193286E2,6.050000000E2
1.002221484E2,4.820000000E2
1.004249988E2,4.860000000E2
1.006279101E2,2.440000000E2
1.008306995E2,2.480000000E2
1.010339770E2,3.370000000E2
1.012364001E2,3.840000000E2
1.014392505E2,2.270000000E2
1.016421619E2,3.450000000E2
1.018449512E2,4.500000000E2
1.020480151E2,9.010000000E2
1.022506518E2,8.930000000E2
1.024535022E2,5.860000000E2
1.026563525E2,5.680000000E2
1.028592029E2,5.400000000E2
1.030620532E2,7.110000000E2
1.032648730E2,6.040000000E2
1.034681506E2,4.050000000E2
1.036705737E2,3.870000000E2
1.038734241E2,6.380000000E2
1.040762439E2,7.710000000E2
1.042790942E2,3.660000000E2
1.044822192E2,3.980000000E2
1.046847339E2,3.030000000E2
1.048875842E2,2.760000000E2
1.050904956E2,2.380000000E2
1.052932544E2,2.210000000E2
1.054962268E2,1.610000000E2
1.056989551E2,1.430000000E2
1.059018054E2,2.060000000E2
1.061045947E2,1.800000000E2
1.063074451E2,1.100000000E2
1.065103259E2,1.530000000E2
1.067131152E2,1.940000000E2
1.069163623E2,3.730000000E2
1.071187854E2,2.800000000E2
1.073216357E2,2.630000000E2
1.075244861E2,3.340000000E2
1.077273059E2,5.040000000E2
1.079303666E2,7.480000000E2
1.081329728E2,5.290000000E2
1.083365861E2,4.000000000E2
1.085386735E2,4.040000000E2
1.087414934E2,5.650000000E2
1.089443742E2,6.360000000E2
1.091471330E2,3.940000000E2
1.093499833E2,4.090000000E2
1.095528337E2,3.270000000E2
1.097556535E2,4.870000000E2
1.099585038E2,5.330000000E2
1.101612932E2,4.130000000E2
1.103645097E2,2.730000000E2
1.107698137E2,4.230000000E2
1.109726640E2,5.010000000E2
1.111754838E2,3.850000000E2
1.113785478E2,3.320000000E2
1.115811235E2,3.680000000E2
1.117840043E2,7.000000000E2
1.119868242E2,7.230000000E2
1.121896440E2,4.360000000E2
1.123926164E2,4.590000000E2
1.125953447E2,3.810000000E2
1.127981645E2,6.200000000E2
1.130009538E2,4.940000000E2
1.132038041E2,3.210000000E2
1.134067155E2,3.170000000E2
1.136095048E2,4.280000000E2
1.138126909E2,7.250000000E2
1.140151750E2,4.620000000E2
1.142179948E2,4.040000000E2
1.144208146E2,4.350000000E2
1.146236650E2,6.020000000E2
1.148266984E2,8.460000000E2
1.150293657E2,5.730000000E2
1.152323381E2,3.840000000E2
1.154350358E2,4.780000000E2
1.156378862E2,6.410000000E2
1.158407060E2,7.380000000E2
1.160435563E2,4.170000000E2
1.162468644E2,3.860000000E2
1.164492265E2,3.980000000E2
1.166520768E2,5.420000000E2
1.168549577E2,5.120000000E2
1.170577775E2,3.070000000E2
1.172609025E2,2.680000000E2
1.174634782E2,2.470000000E2
1.176663286E2,3.800000000E2
1.178691193E2,3.590000000E2
1.180720001E2,1.990000000E2
1.182748505E2,2.150000000E2
1.186804901E2,3.950000000E2
1.188833405E2,3.980000000E2
1.190861908E2,3.300000000E2
1.192890717E2,2.440000000E2
1.194918610E2,3.000000000E2
1.196949860E2,4.130000000E2
1.198975311E2,3.590000000E2
1.201003510E2,2.900000000E2
1.203032013E2,2.430000000E2
1.205060517E2,3.040000000E2
1.207090241E2,4.690000000E2
1.209116913E2,4.450000000E2
1.211145111E2,3.670000000E2
1.213173310E2,3.390000000E2
1.215201508E2,4.050000000E2
1.217230011E2,4.710000000E2
1.219258209E2,4.770000000E2
1.221286408E2,3.430000000E2
1.223314606E2,2.850000000E2
1.225342804E2,2.490000000E2
1.227371308E2,4.630000000E2
1.229399506E2,6.330000000E2
1.231431366E2,4.050000000E2
1.233456513E2,3.730000000E2
1.235484711E2,4.490000000E2
1.237513214E2,6.160000000E2
1.239541413E2,1.084000000E3
1.241571137E2,1.131000000E3
1.243598114E2,1.153000000E3
1.245626312E2,1.260000000E3
1.247654816E2,1.408000000E3
1.249683014E2,1.623000000E3
1.251711518E2,1.702000000E3
1.253739716E2,1.639000000E3
1.255771881E2,1.592000000E3
1.257796112E2,1.507000000E3
1.259824616E2,1.372000000E3
1.261853424E2,1.368000000E3
1.263881317E2,1.347000000E3
1.265912567E2,1.368000000E3
1.267938019E2,1.271000000E3
1.269966217E2,1.125000000E3
1.271994721E2,1.034000000E3
1.274022919E2,9.100000000E2
1.276052338E2,7.690000000E2
1.278079315E2,8.650000000E2
1.280107582E2,1.003000000E3
1.282136085E2,1.016000000E3
1.284163978E2,9.400000000E2
1.286192482E2,8.030000000E2
1.288220680E2,6.560000000E2
1.290248573E2,5.420000000E2
1.292277076E2,4.950000000E2
1.294305274E2,4.300000000E2
1.296333778E2,4.030000000E2
1.298361366E2,3.530000000E2
1.300394142E2,3.550000000E2
1.302418067E2,3.230000000E2
1.304445961E2,2.990000000E2
1.306474464E2,4.810000000E2
1.308502662E2,5.770000000E2
1.310533912E2,5.810000000E2
1.312559059E2,4.510000000E2
1.314587257E2,3.390000000E2
1.316615760E2,4.170000000E2
1.318643348E2,4.550000000E2
1.322700050E2,5.870000000E2
1.324727943E2,7.820000000E2
1.326756141E2,8.510000000E2
1.328784339E2,7.410000000E2
1.330814369E2,6.770000000E2
1.332840431E2,5.860000000E2
1.334868629E2,7.600000000E2
1.336897438E2,1.221000000E3
1.338925331E2,1.217000000E3
1.340954139E2,1.018000000E3
1.342981727E2,6.360000000E2
1.345010231E2,6.020000000E2
1.347038124E2,5.860000000E2
1.349066627E2,7.000000000E2
1.351095436E2,8.210000000E2
1.353123024E2,7.190000000E2
1.355154884E2,5.830000000E2
1.357179725E2,4.990000000E2
1.359209754E2,5.120000000E2
1.361236427E2,6.980000000E2
1.363264930E2,8.240000000E2
1.365295265E2,6.100000000E2
1.367321022E2,5.170000000E2
1.369349525E2,4.940000000E2
1.371378028E2,4.990000000E2
1.373406227E2,6.180000000E2
1.375435646E2,4.710000000E2
1.377462928E2,2.660000000E2
1.379491391E2,2.160000000E2
1.381519284E2,2.390000000E2
1.383547788E2,2.800000000E2
1.385576596E2,3.460000000E2
1.387604489E2,2.790000000E2
1.389636044E2,2.110000000E2
1.391661191E2,2.580000000E2
1.393689389E2,6.480000000E2
1.395717893E2,9.670000000E2
1.397746091E2,8.880000000E2
1.399776730E2,6.020000000E2
1.401802487E2,6.090000000E2
1.403830991E2,7.010000000E2
1.405859189E2,1.070000000E3
1.407887692E2,1.032000000E3
1.409915891E2,7.270000000E2
1.411944089E2,7.250000000E2
1.413972592E2,7.190000000E2
1.416000791E2,1.034000000E3
1.418028989E2,1.031000000E3
1.420057492E2,7.790000000E2
1.422085385E2,7.340000000E2
1.424117246E2,7.730000000E2
1.426142087E2,1.006000000E3
1.428171811E2,1.145000000E3
1.430199094E2,9.920000000E2
1.432226987E2,8.160000000E2
