"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.233287889E1,4.866412800E0,4.702087402E1,1.440000057E0,1.258000031E2,1.929600143E1,0.000000000E0
1.008420937E0,5.233291899E1,4.866466270E0,6.461303711E-1,2.230000019E0,9.659999847E1,1.607999992E1,0.000000000E0
2.007206510E0,5.233292554E1,4.866508060E0,-2.964355469E-1,2.569999933E0,8.600000000E1,1.286400032E1,0.000000000E0
3.005747395E0,5.233293950E1,4.866563660E0,6.804931641E-1,2.779999971E0,8.780000305E1,1.072000027E1,0.000000000E0
4.005532134E0,5.233295428E1,4.866613890E0,-2.116577148E-1,2.960000038E0,8.109999847E1,1.072000027E1,0.000000000E0
4.999420519E0,5.233295287E1,4.866655190E0,-4.933349609E-1,3.049999952E0,8.380000305E1,1.286400032E1,0.000000000E0
6.005019164E0,5.233297274E1,4.866702300E0,-5.216552734E-1,3.279999971E0,6.469999695E1,1.179199982E1,0.000000000E0
6.999034060E0,5.233301497E1,4.866743190E0,1.368725586E0,2.950000048E0,6.040000153E1,1.179199982E1,0.000000000E0
8.006060882E0,5.233303907E1,4.866776930E0,2.640026855E0,1.929999948E0,6.840000153E1,1.179199982E1,0.000000000E0
9.008212757E0,5.233305699E1,4.866802860E0,3.284619141E0,1.529999971E0,6.609999847E1,1.179199982E1,0.000000000E0
1.000458864E1,5.233307824E1,4.866831500E0,5.277111816E0,1.980000019E0,6.340000153E1,1.179199982E1,0.000000000E0
1.100641224E1,5.233310146E1,4.866865130E0,7.277355957E0,1.970000029E0,6.070000076E1,1.179199982E1,0.000000000E0
1.200029718E1,5.233312447E1,4.866891280E0,9.389538574E0,1.299999952E0,5.270000076E1,1.179199982E1,0.000000000E0
1.300806380E1,5.233313825E1,4.866906000E0,9.067333984E0,9.499999881E-1,4.090000153E1,9.648000717E0,0.000000000E0
1.401077833E1,5.233315918E1,4.866919630E0,1.107575684E1,1.240000010E0,1.539999962E1,7.504000187E0,0.000000000E0
1.501159880E1,5.233318361E1,4.866932740E0,1.245954590E1,1.019999981E0,5.099999905E0,7.504000187E0,0.000000000E0
1.601381104E1,5.233321016E1,4.866941190E0,1.250495605E1,1.220000029E0,1.189999962E1,6.432000160E0,0.000000000E0
1.700728989E1,5.233324043E1,4.866954050E0,1.316834717E1,1.539999962E0,1.530000019E1,6.432000160E0,0.000000000E0
1.800764208E1,5.233326710E1,4.866965460E0,1.248743896E1,1.500000000E0,1.369999981E1,7.504000187E0,0.000000000E0
1.902117869E1,5.233329451E1,4.866969140E0,1.083765869E1,1.639999986E0,7.199999809E0,8.576000214E0,0.000000000E0
2.000961150E1,5.233332708E1,4.866968950E0,1.210383301E1,2.119999886E0,3.587999878E2,9.648000717E0,0.000000000E0
2.100859572E1,5.233337484E1,4.866960070E0,1.341865234E1,3.809999943E0,3.517000122E2,1.072000027E1,0.000000000E0
2.200967338E1,5.233344522E1,4.866952510E0,1.367652588E1,6.219999790E0,3.400000095E0,1.500800037E1,0.000000000E0
2.302165968E1,5.233352325E1,4.866949070E0,1.372681885E1,6.130000114E0,1.600000024E0,1.393600082E1,0.000000000E0
2.401795504E1,5.233360040E1,4.866927970E0,1.292976074E1,6.400000095E0,3.113999939E2,1.393600082E1,0.000000000E0
2.502418723E1,5.233362728E1,4.866920150E0,1.416352539E1,1.009999990E0,3.395000000E2,5.360000134E0,0.000000000E0
2.602160786E1,5.233362853E1,4.866923980E0,1.334644775E1,1.019999981E0,3.282000122E2,5.360000134E0,0.000000000E0
2.701174593E1,5.233363014E1,4.866935800E0,1.335493164E1,1.019999981E0,3.950000000E1,5.360000134E0,0.000000000E0
2.800932817E1,5.233363177E1,4.866955070E0,1.373640137E1,1.000000000E0,5.050000000E1,5.360000134E0,0.000000000E0
2.900995171E1,5.233363434E1,4.866974110E0,1.470722656E1,9.800000191E-1,5.170000076E1,6.432000160E0,0.000000000E0
3.001994416E1,5.233363653E1,4.866990910E0,1.535157471E1,9.300000072E-1,5.290000153E1,6.432000160E0,0.000000000E0
3.100634140E1,5.233363812E1,4.867006880E0,1.583479004E1,9.300000072E-1,5.709999847E1,6.432000160E0,0.000000000E0
3.200668384E1,5.233363847E1,4.867021380E0,1.604047852E1,8.399999738E-1,6.450000000E1,7.504000187E0,0.000000000E0
3.301320801E1,5.233363469E1,4.867038720E0,1.606141357E1,8.299999833E-1,7.809999847E1,7.504000187E0,0.000000000E0
3.401020556E1,5.233362934E1,4.867058970E0,1.616523437E1,8.299999833E-1,8.930000305E1,7.504000187E0,0.000000000E0
3.500591853E1,5.233362688E1,4.867078460E0,1.678150635E1,8.299999833E-1,9.690000153E1,7.504000187E0,0.000000000E0
3.601006405E1,5.233362562E1,4.867099890E0,1.600050049E1,8.299999833E-1,9.690000153E1,7.504000187E0,0.000000000E0
3.700732842E1,5.233362470E1,4.867121770E0,1.610535889E1,8.000000119E-1,9.430000305E1,7.504000187E0,0.000000000E0
3.800840561E1,5.233362470E1,4.867147050E0,1.627613525E1,7.900000215E-1,8.859999847E1,7.504000187E0,0.000000000E0
3.900634998E1,5.233362750E1,4.867175050E0,1.702216797E1,7.799999714E-1,7.559999847E1,7.504000187E0,0.000000000E0
4.001090353E1,5.233363136E1,4.867202890E0,1.830573730E1,8.299999833E-1,6.700000000E1,8.576000214E0,0.000000000E0
4.100999202E1,5.233363619E1,4.867231700E0,1.891242676E1,8.999999762E-1,6.959999847E1,8.576000214E0,0.000000000E0
4.201114196E1,5.233364128E1,4.867261560E0,1.990937500E1,9.399999976E-1,6.709999847E1,8.576000214E0,0.000000000E0
4.300755394E1,5.233364885E1,4.867297260E0,1.834522705E1,9.800000191E-1,6.809999847E1,8.576000214E0,0.000000000E0
4.400820186E1,5.233365918E1,4.867337800E0,1.492310791E1,1.039999962E0,6.680000305E1,8.576000214E0,0.000000000E0
4.500643280E1,5.233366755E1,4.867378700E0,1.424763184E1,1.059999943E0,7.140000153E1,8.576000214E0,0.000000000E0
4.600926009E1,5.233366773E1,4.867420120E0,1.283375244E1,1.070000052E0,1.351000061E2,8.576000214E0,0.000000000E0
4.701674920E1,5.233365818E1,4.867455390E0,1.174293213E1,1.059999943E0,1.695000000E2,9.648000717E0,0.000000000E0
4.801312503E1,5.233364790E1,4.867489210E0,1.155939941E1,1.090000033E0,1.376999969E2,9.648000717E0,0.000000000E0
4.901420904E1,5.233363923E1,4.867528170E0,1.113197021E1,1.159999967E0,1.226999969E2,1.072000027E1,0.000000000E0
5.001114941E1,5.233363332E1,4.867580610E0,1.191737061E1,1.710000038E0,1.014000015E2,1.072000027E1,0.000000000E0
5.101179618E1,5.233362276E1,4.867643350E0,1.226307373E1,1.730000019E0,1.100000000E2,9.648000717E0,0.000000000E0
5.201688081E1,5.233360739E1,4.867704560E0,1.244947510E1,1.700000048E0,1.274000015E2,9.648000717E0,0.000000000E0
5.301330633E1,5.233358760E1,4.867758640E0,1.256788330E1,1.720000029E0,1.453999939E2,9.648000717E0,0.000000000E0
5.401227472E1,5.233356086E1,4.867811300E0,1.183387451E1,1.879999995E0,1.711000061E2,9.648000717E0,0.000000000E0
5.501152248E1,5.233353455E1,4.867868830E0,1.234583740E1,1.980000019E0,1.708999939E2,8.576000214E0,0.000000000E0
5.600998060E1,5.233350676E1,4.867927570E0,1.263178711E1,1.990000010E0,1.690000000E2,8.576000214E0,0.000000000E0
5.700576180E1,5.233347838E1,4.867986990E0,1.256397705E1,2.069999933E0,1.666999969E2,8.576000214E0,0.000000000E0
5.801278503E1,5.233339592E1,4.868276380E0,1.164790039E1,2.019999981E0,1.573999939E2,8.576000214E0,0.000000000E0
5.901089451E1,5.233335478E1,4.868295820E0,1.205958252E1,2.150000095E0,1.788999939E2,1.179199982E1,0.000000000E0
6.001651284E1,5.233331976E1,4.868309800E0,1.210218506E1,2.460000038E0,1.818999939E2,1.072000027E1,0.000000000E0
6.101096034E1,5.233328915E1,4.868325950E0,1.277692871E1,2.619999886E0,1.796000061E2,1.072000027E1,0.000000000E0
6.200859144E1,5.233325573E1,4.868338050E0,1.279035645E1,2.819999933E0,1.811999969E2,1.072000027E1,0.000000000E0
6.301752175E1,5.233321711E1,4.868352000E0,1.287189941E1,2.970000029E0,1.791000061E2,1.072000027E1,0.000000000E0
6.401813060E1,5.233318960E1,4.868369660E0,1.333710937E1,1.139999986E0,1.785000000E2,9.648000717E0,0.000000000E0
6.501948727E1,5.233316754E1,4.868384150E0,1.610963135E1,1.139999986E0,1.786999969E2,9.648000717E0,0.000000000E0
6.601463498E1,5.233314149E1,4.868397910E0,1.669337158E1,1.159999967E0,1.838000031E2,9.648000717E0,0.000000000E0
6.701384451E1,5.233311467E1,4.868409860E0,1.795832520E1,1.210000038E0,1.803000031E2,9.648000717E0,0.000000000E0
6.801258919E1,5.233308666E1,4.868422120E0,1.597205811E1,1.210000038E0,1.801000061E2,9.648000717E0,0.000000000E0
6.901274966E1,5.233305851E1,4.868434600E0,1.686530762E1,1.259999990E0,1.786999969E2,9.648000717E0,0.000000000E0
7.001253909E1,5.233302977E1,4.868448030E0,1.687250977E1,1.279999971E0,1.765000000E2,9.648000717E0,0.000000000E0
7.101956174E1,5.233300169E1,4.868462750E0,1.640485840E1,1.309999943E0,1.720000000E2,9.648000717E0,0.000000000E0
7.202483794E1,5.233297128E1,4.868476700E0,1.591529541E1,1.389999986E0,1.733000031E2,9.648000717E0,0.000000000E0
7.301514049E1,5.233293919E1,4.868487350E0,1.655134277E1,1.470000029E0,1.778000031E2,9.648000717E0,0.000000000E0
7.401923706E1,5.233289954E1,4.868495490E0,1.730512695E1,1.779999971E0,1.918999939E2,9.648000717E0,0.000000000E0
7.501652924E1,5.233285806E1,4.868501640E0,1.628614502E1,1.889999986E0,1.816999969E2,9.648000717E0,0.000000000E0
7.602287242E1,5.233281438E1,4.868507750E0,1.578468018E1,2.029999971E0,1.798999939E2,9.648000717E0,0.000000000E0
7.702266393E1,5.233276729E1,4.868514670E0,1.502375488E1,2.279999971E0,1.778000031E2,9.648000717E0,0.000000000E0
7.800973382E1,5.233271446E1,4.868523470E0,1.407722168E1,2.609999895E0,1.793000031E2,1.072000027E1,0.000000000E0
7.900952268E1,5.233265773E1,4.868531150E0,1.274915771E1,2.859999895E0,1.803000031E2,1.072000027E1,0.000000000E0
8.000776403E1,5.233259942E1,4.868539250E0,1.187391357E1,3.049999952E0,1.708000031E2,1.072000027E1,0.000000000E0
8.101012523E1,5.233253766E1,4.868547390E0,1.090040283E1,3.339999914E0,1.836000061E2,1.072000027E1,0.000000000E0
8.201124085E1,5.233231363E1,4.868568410E0,1.162647705E1,4.090000153E0,1.788999939E2,1.072000027E1,0.000000000E0
8.300966419E1,5.233226631E1,4.868572200E0,1.150019531E1,4.309999943E0,1.803999939E2,1.072000027E1,0.000000000E0
8.400909825E1,5.233222914E1,4.868575880E0,1.072071533E1,4.179999828E0,1.791999969E2,1.072000027E1,0.000000000E0
8.501280768E1,5.233219079E1,4.868575640E0,9.294567871E0,4.139999866E0,1.856999969E2,1.072000027E1,0.000000000E0
8.601081695E1,5.233216010E1,4.868559110E0,7.477795410E0,3.970000029E0,2.258999939E2,1.072000027E1,0.000000000E0
8.701048049E1,5.233212911E1,4.868518400E0,7.179943848E0,4.210000038E0,2.416000061E2,1.072000027E1,0.000000000E0
8.802474559E1,5.233211957E1,4.868491830E0,7.349621582E0,1.080000043E0,2.363999939E2,9.648000717E0,0.000000000E0
8.903146481E1,5.233211929E1,4.868473610E0,7.264843750E0,1.110000014E0,2.468000031E2,9.648000717E0,0.000000000E0
9.002378351E1,5.233212030E1,4.868451380E0,6.909497070E0,1.110000014E0,2.591000061E2,9.648000717E0,0.000000000E0
9.101242757E1,5.233212533E1,4.868421840E0,4.561779785E0,1.120000005E0,2.661000061E2,9.648000717E0,0.000000000E0
9.201755866E1,5.233213034E1,4.868386450E0,3.822338867E0,1.129999995E0,2.821000061E2,9.648000717E0,0.000000000E0
9.301161366E1,5.233213633E1,4.868350270E0,3.231640625E0,1.110000014E0,2.847000122E2,9.648000717E0,0.000000000E0
9.400854444E1,5.233214313E1,4.868312080E0,3.128125000E0,1.100000024E0,2.846000061E2,9.648000717E0,0.000000000E0
9.502705715E1,5.233215007E1,4.868271640E0,2.108471680E0,1.100000024E0,2.862000122E2,9.648000717E0,0.000000000E0
9.601436809E1,5.233215442E1,4.868227770E0,1.878857422E0,1.120000005E0,2.788999939E2,9.648000717E0,0.000000000E0
9.701865882E1,5.233215796E1,4.868181430E0,1.198010254E0,1.139999986E0,2.792999878E2,9.648000717E0,0.000000000E0
9.802157840E1,5.233215993E1,4.868132490E0,3.637463379E0,1.179999948E0,2.695000000E2,9.648000717E0,0.000000000E0
9.902228142E1,5.233215975E1,4.868081870E0,3.894177246E0,1.210000038E0,2.672000122E2,9.648000717E0,0.000000000E0
1.000163388E2,5.233215830E1,4.868025120E0,4.728283691E0,1.289999962E0,2.707000122E2,9.648000717E0,0.000000000E0
1.010180957E2,5.233215638E1,4.867963180E0,3.967236328E0,1.370000005E0,2.717000122E2,9.648000717E0,0.000000000E0
1.020235210E2,5.233215634E1,4.867901920E0,5.036938477E0,1.429999948E0,2.751000061E2,9.648000717E0,0.000000000E0
1.030211202E2,5.233215540E1,4.867838580E0,6.107983398E0,1.509999990E0,2.666000061E2,9.648000717E0,0.000000000E0
1.040211969E2,5.233215308E1,4.867763320E0,5.211376953E0,1.710000038E0,2.633999939E2,1.072000027E1,0.000000000E0
1.050276882E2,5.233215073E1,4.867683320E0,5.974072266E0,1.870000005E0,2.692999878E2,1.072000027E1,0.000000000E0
1.060224793E2,5.233213897E1,4.867353050E0,5.774792480E0,2.150000095E0,2.706000061E2,1.072000027E1,0.000000000E0
1.070392496E2,5.233213841E1,4.867261390E0,6.418957520E0,2.690000057E0,2.686000061E2,1.072000027E1,0.000000000E0
1.080231918E2,5.233213676E1,4.867162140E0,6.272290039E0,3.440000057E0,2.707000122E2,1.072000027E1,0.000000000E0
1.090252719E2,5.233213384E1,4.867079080E0,6.319592285E0,3.640000105E0,2.678999939E2,1.072000027E1,0.000000000E0
1.100210270E2,5.233213172E1,4.867010860E0,5.504895020E0,3.579999924E0,2.687000122E2,1.072000027E1,0.000000000E0
