"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
0.000000000E0,-1.027374268E1,-3.464660645E1,-2.612457275E1
1.995849600E-2,-1.026916504E1,-3.534545898E1,-2.540130615E1
3.994751000E-2,-1.030426025E1,-3.394012451E1,-2.899169922E1
5.993652300E-2,-8.129882812E0,-3.323516846E1,-2.828979492E1
8.020019500E-2,-1.105041504E1,-3.393707275E1,-3.113403320E1
9.991455100E-2,-9.579467773E0,-3.044891357E1,-3.046722412E1
1.199645990E-1,-1.031341553E1,-2.975158691E1,-3.190460205E1
1.398925780E-1,-9.593200684E0,-2.974853516E1,-3.190612793E1
1.598815920E-1,-9.593200684E0,-2.974853516E1,-3.190612793E1
1.798706050E-1,-1.105499268E1,-2.765655518E1,-3.479003906E1
1.998596190E-1,-9.614562988E0,-2.904510498E1,-3.405914307E1
2.198486330E-1,-8.886718750E0,-2.625274658E1,-3.481140137E1
2.401733400E-1,-8.882141113E0,-2.695159912E1,-3.408813477E1
2.598266600E-1,-8.178710938E0,-2.694244385E1,-3.551635742E1
2.798461910E-1,-1.104278564E1,-2.696228027E1,-3.408508301E1
2.998046870E-1,-9.619140625E0,-2.555541992E1,-3.624877930E1
3.197937010E-1,1.192932129E1,-2.691497803E1,-3.054046631E1
3.397827150E-1,1.192474365E1,-2.481994629E1,-3.199768066E1
3.597717280E-1,1.192779541E1,-2.412414551E1,-3.200683594E1
3.797607420E-1,1.123352051E1,-2.273864746E1,-3.059692383E1
4.001770020E-1,1.048278809E1,-2.343292236E1,-3.272857666E1
4.198303220E-1,9.788513184E0,-2.204742432E1,-3.131866455E1
4.397277830E-1,9.780883789E0,-2.204589844E1,-3.203277588E1
4.597473140E-1,8.340454102E0,-2.065734863E1,-3.276367188E1
4.797058100E-1,1.047363281E1,-1.924438477E1,-3.564300537E1
4.996948240E-1,1.047821045E1,-1.854858398E1,-3.565216064E1
5.196838380E-1,1.121215820E1,-1.784973145E1,-3.494873047E1
5.396728510E-1,1.264801025E1,-1.714324951E1,-3.567352295E1
5.600891110E-1,1.337738037E1,-1.853790283E1,-3.422698975E1
5.798339840E-1,1.480865479E1,-1.992340088E1,-3.421020508E1
5.996704100E-1,1.119079590E1,-1.993713379E1,-3.563385010E1
6.196594240E-1,1.336364746E1,-2.062683105E1,-3.419952393E1
6.396484370E-1,1.406707764E1,-2.061920166E1,-3.562927246E1
6.596374510E-1,-9.851074219E0,-2.227325439E1,-3.906707764E1
6.796264650E-1,-7.685852051E0,-2.295989990E1,-3.834533691E1
6.995849610E-1,-9.156799316E0,-2.365722656E1,-4.047851562E1
7.199707030E-1,-9.161376953E0,-2.295837402E1,-4.120178223E1
7.398376460E-1,-9.161376953E0,-2.156219482E1,-4.193420410E1
7.595520020E-1,-9.144592285E0,-2.156829834E1,-4.050598145E1
7.795715330E-1,-1.129150391E1,-2.088470459E1,-3.979797363E1
7.995300290E-1,-1.201629639E1,-2.158508301E1,-3.978729248E1
8.195190430E-1,-1.127014160E1,-2.019348145E1,-3.837890625E1
8.395080560E-1,-1.198577881E1,-2.089538574E1,-3.765411377E1
8.595581050E-1,-1.344451904E1,-2.089843750E1,-3.908081055E1
8.794860840E-1,-1.557006836E1,-1.812896729E1,-3.768768311E1
8.998413080E-1,-1.484985352E1,-1.812438965E1,-3.768768311E1
9.194946290E-1,-1.557006836E1,-1.673278809E1,-3.842010498E1
9.395446780E-1,-1.556243896E1,-1.533966064E1,-3.843841553E1
9.594421390E-1,-1.701507568E1,-1.604156494E1,-3.914184570E1
9.794616700E-1,-1.484222412E1,-1.533660889E1,-3.843994141E1
9.994201660E-1,-1.358337402E1,-1.247711182E1,-4.201812744E1
1.019409180E0,-1.212615967E1,-9.684753418E0,-4.205780029E1
