sensor_type,device_type,timestamps,illuminance
light,smartphone,1529416800000000000,13653.0
light,smartphone,1529416800403636992,14709.0
light,smartphone,1529416800606579200,15968.0
light,smartphone,1529416800809428992,17715.0
light,smartphone,1529416801012707072,17274.0
light,smartphone,1529416801215312896,17664.0
light,smartphone,1529416801418163200,20536.0
light,smartphone,1529416801621104896,21131.0
light,smartphone,1529416801823986176,21213.0
light,smartphone,1529416802026927872,21254.0
light,smartphone,1529416802229809152,20344.0
light,smartphone,1529416802432872960,19841.0
light,smartphone,1529416802635632128,17949.0
light,smartphone,1529416802838511872,16110.0
light,smartphone,1529416803041454080,15146.0
light,smartphone,1529416803244396032,15354.0
light,smartphone,1529416803447338240,17424.0
light,smartphone,1529416803650219008,19308.0
light,smartphone,1529416803853190912,19146.0
light,smartphone,1529416804056102912,15023.0
light,smartphone,1529416804259196928,15887.0
light,smartphone,1529416804461894912,14800.0
light,smartphone,1529416804664805888,10272.0
light,smartphone,1529416804867748096,12436.0
light,smartphone,1529416805070628864,18590.0
light,smartphone,1529416805273571072,16698.0
light,smartphone,1529416805476452096,9783.0
light,smartphone,1529416805679363072,1054.0
light,smartphone,1529416805882365952,232.0
light,smartphone,1529416806288097024,404.0
light,smartphone,1529416806491038976,372.0
light,smartphone,1529416806693950976,248.0
light,smartphone,1529416806896830976,216.0
light,smartphone,1529416807099742976,282.0
light,smartphone,1529416807302685184,250.0
light,smartphone,1529416807505718016,286.0
light,smartphone,1529416807708445952,409.0
light,smartphone,1529416807911366912,439.0
light,smartphone,1529416808114247168,321.0
light,smartphone,1529416808317158912,229.0
light,smartphone,1529416808520070144,264.0
light,smartphone,1529416808722950912,263.0
light,smartphone,1529416808925893120,267.0
light,smartphone,1529416809128742912,435.0
light,smartphone,1529416809332020992,449.0
light,smartphone,1529416809534565888,327.0
light,smartphone,1529416809737477120,216.0
light,smartphone,1529416809940357888,288.0
light,smartphone,1529416810143270144,249.0
light,smartphone,1529416810346211840,357.0
light,smartphone,1529416810549061888,486.0
light,smartphone,1529416810752217088,440.0
light,smartphone,1529416810954915072,250.0
light,smartphone,1529416811157795840,245.0
light,smartphone,1529416811360738048,300.0
light,smartphone,1529416811563618816,238.0
light,smartphone,1529416811766561024,368.0
light,smartphone,1529416811969410816,441.0
light,smartphone,1529416812172444160,375.0
light,smartphone,1529416812375233792,368.0
light,smartphone,1529416812578084096,381.0
light,smartphone,1529416812780996096,391.0
light,smartphone,1529416812983907072,401.0
light,smartphone,1529416813186849024,437.0
light,smartphone,1529416813389699072,448.0
light,smartphone,1529416813592641024,440.0
light,smartphone,1529416813795522048,456.0
light,smartphone,1529416813998769152,449.0
light,smartphone,1529416814201314048,476.0
light,smartphone,1529416814404226048,509.0
light,smartphone,1529416814607227904,529.0
light,smartphone,1529416814810048000,561.0
light,smartphone,1529416815012989952,560.0
light,smartphone,1529416815215870976,567.0
light,smartphone,1529416815418935040,602.0
light,smartphone,1529416815621662976,614.0
light,smartphone,1529416815824574976,523.0
light,smartphone,1529416816027546880,386.0
light,smartphone,1529416816230396928,357.0
light,smartphone,1529416816433309184,349.0
light,smartphone,1529416816636219904,360.0
light,smartphone,1529416816839193088,491.0
light,smartphone,1529416817042011904,618.0
light,smartphone,1529416817245320192,643.0
light,smartphone,1529416817447834880,450.0
light,smartphone,1529416817650747136,322.0
light,smartphone,1529416817853724928,384.0
light,smartphone,1529416818056605952,387.0
light,smartphone,1529416818259516928,587.0
light,smartphone,1529416818462427904,683.0
light,smartphone,1529416818665889024,641.0
light,smartphone,1529416818868189952,660.0
light,smartphone,1529416819071101696,655.0
light,smartphone,1529416819274012928,674.0
light,smartphone,1529416819476923904,771.0
light,smartphone,1529416819679835904,682.0
light,smartphone,1529416819882716672,416.0
light,smartphone,1529416820085780992,409.0
light,smartphone,1529416820288508672,376.0
light,smartphone,1529416820491446016,294.0
light,smartphone,1529416820694327040,416.0
light,smartphone,1529416820897238016,752.0
light,smartphone,1529416821100148992,960.0
light,smartphone,1529416821303060992,665.0
light,smartphone,1529416821505971968,518.0
light,smartphone,1529416821708823040,463.0
light,smartphone,1529416821912131072,727.0
light,smartphone,1529416822114644992,1038.0
light,smartphone,1529416822317526016,962.0
light,smartphone,1529416822520438016,483.0
light,smartphone,1529416822723349248,478.0
