sensor_type,device_type,timestamps,x,y,z
magnetometer,smartphone,1529416800000000000,-10.27374268,-34.64660645,-26.12457275
magnetometer,smartphone,1529416800019958016,-10.26916504,-35.34545898,-25.40130615
magnetometer,smartphone,1529416800039948032,-10.30426025,-33.94012451,-28.99169922
magnetometer,smartphone,1529416800059937024,-8.129882812,-33.23516846,-28.28979492
magnetometer,smartphone,1529416800080199936,-11.05041504,-33.93707275,-31.1340332
magnetometer,smartphone,1529416800099915008,-9.579467773,-30.44891357,-30.46722412
magnetometer,smartphone,1529416800119965184,-10.31341553,-29.75158691,-31.90460205
magnetometer,smartphone,1529416800139892992,-9.593200684,-29.74853516,-31.90612793
magnetometer,smartphone,1529416800159881984,-9.593200684,-29.74853516,-31.90612793
magnetometer,smartphone,1529416800179870976,-11.05499268,-27.65655518,-34.79003906
magnetometer,smartphone,1529416800199860224,-9.614562988,-29.04510498,-34.05914307
magnetometer,smartphone,1529416800219849216,-8.88671875,-26.25274658,-34.81140137
magnetometer,smartphone,1529416800240173056,-8.882141113,-26.95159912,-34.08813477
magnetometer,smartphone,1529416800259826944,-8.178710938,-26.94244385,-35.51635742
magnetometer,smartphone,1529416800279845888,-11.04278564,-26.96228027,-34.08508301
magnetometer,smartphone,1529416800299804928,-9.619140625,-25.55541992,-36.2487793
magnetometer,smartphone,1529416800319793920,11.92932129,-26.91497803,-30.54046631
magnetometer,smartphone,1529416800339782912,11.92474365,-24.81994629,-31.99768066
magnetometer,smartphone,1529416800359771904,11.92779541,-24.12414551,-32.00683594
magnetometer,smartphone,1529416800379760896,11.23352051,-22.73864746,-30.59692383
magnetometer,smartphone,1529416800400176896,10.48278809,-23.43292236,-32.72857666
magnetometer,smartphone,1529416800419830016,9.788513184,-22.04742432,-31.31866455
magnetometer,smartphone,1529416800439728128,9.780883789,-22.04589844,-32.03277588
magnetometer,smartphone,1529416800459747072,8.340454102,-20.65734863,-32.76367188
magnetometer,smartphone,1529416800479706112,10.47363281,-19.24438477,-35.64300537
magnetometer,smartphone,1529416800499695104,10.47821045,-18.54858398,-35.65216064
magnetometer,smartphone,1529416800519684096,11.2121582,-17.84973145,-34.94873047
magnetometer,smartphone,1529416800539673088,12.64801025,-17.14324951,-35.67352295
magnetometer,smartphone,1529416800560089088,13.37738037,-18.53790283,-34.22698975
magnetometer,smartphone,1529416800579834112,14.80865479,-19.92340088,-34.21020508
magnetometer,smartphone,1529416800599670016,11.1907959,-19.93713379,-35.6338501
magnetometer,smartphone,1529416800619659008,13.36364746,-20.62683105,-34.19952393
magnetometer,smartphone,1529416800639648000,14.06707764,-20.61920166,-35.62927246
magnetometer,smartphone,1529416800659636992,-9.851074219,-22.27325439,-39.06707764
magnetometer,smartphone,1529416800679625984,-7.685852051,-22.9598999,-38.34533691
magnetometer,smartphone,1529416800699585024,-9.156799316,-23.65722656,-40.47851562
magnetometer,smartphone,1529416800719971072,-9.161376953,-22.95837402,-41.20178223
magnetometer,smartphone,1529416800739837952,-9.161376953,-21.56219482,-41.9342041
magnetometer,smartphone,1529416800759552000,-9.144592285,-21.56829834,-40.50598145
magnetometer,smartphone,1529416800779571968,-11.29150391,-20.88470459,-39.79797363
magnetometer,smartphone,1529416800799529984,-12.01629639,-21.58508301,-39.78729248
magnetometer,smartphone,1529416800819518976,-11.2701416,-20.19348145,-38.37890625
magnetometer,smartphone,1529416800839507968,-11.98577881,-20.89538574,-37.65411377
magnetometer,smartphone,1529416800859558144,-13.44451904,-20.8984375,-39.08081055
magnetometer,smartphone,1529416800879486208,-15.57006836,-18.12896729,-37.68768311
magnetometer,smartphone,1529416800899841024,-14.84985352,-18.12438965,-37.68768311
magnetometer,smartphone,1529416800919495168,-15.57006836,-16.73278809,-38.42010498
magnetometer,smartphone,1529416800939544832,-15.56243896,-15.33966064,-38.43841553
magnetometer,smartphone,1529416800959441920,-17.01507568,-16.04156494,-39.1418457
magnetometer,smartphone,1529416800979461888,-14.84222412,-15.33660889,-38.43994141
magnetometer,smartphone,1529416800999419904,-13.58337402,-12.47711182,-42.01812744
magnetometer,smartphone,1529416801019408896,-12.12615967,-9.684753418,-42.05780029
magnetometer,smartphone,1529416801039397888,-10.70251465,-12.46337891,-42.02270508
magnetometer,smartphone,1529416801059844864,-13.58795166,-11.77825928,-42.74139404
magnetometer,smartphone,1529416801079497984,-14.29595947,-12.48321533,-41.30249023
magnetometer,smartphone,1529416801099364864,-12.83416748,-11.78436279,-39.88494873
magnetometer,smartphone,1529416801119385088,-12.14294434,-13.86566162,-41.28723145
magnetometer,smartphone,1529416801139374080,-13.58337402,-13.87329102,-41.28570557
magnetometer,smartphone,1529416801159332096,-13.58337402,-13.87329102,-41.28570557
magnetometer,smartphone,1529416801179321088,-12.15667725,-15.95458984,-41.25976562
magnetometer,smartphone,1529416801199310080,-12.14752197,-14.5614624,-41.27807617
magnetometer,smartphone,1529416801219634944,-11.42272949,-15.25726318,-40.55480957
magnetometer,smartphone,1529416801239502080,-14.30358887,-15.27252197,-40.55175781
magnetometer,smartphone,1529416801259308032,-14.31732178,-17.3614502,-40.52276611
magnetometer,smartphone,1529416801279266048,-12.1887207,-16.76940918,-35.42175293
magnetometer,smartphone,1529416801299286016,-11.48529053,-18.15643311,-36.11755371
magnetometer,smartphone,1529416801319243776,-14.01824951,-16.86553955,-37.55340576
magnetometer,smartphone,1529416801339233024,-14.03045654,-9.75189209,-39.75067139
magnetometer,smartphone,1529416801359222016,-15.44952393,-10.46295166,-37.59613037
magnetometer,smartphone,1529416801379578112,-12.57324219,-9.748840332,-38.32397461
magnetometer,smartphone,1529416801399444992,-14.01824951,-9.057617188,-39.04571533
magnetometer,smartphone,1529416801419188992,-12.56866455,-6.262207031,-39.79949951
magnetometer,smartphone,1529416801439208960,-11.17095947,-10.42938232,-41.17431641
magnetometer,smartphone,1529416801459166976,-11.89117432,-11.8270874,-40.44036865
magnetometer,smartphone,1529416801479155968,-13.33618164,-13.92669678,-39.69573975
magnetometer,smartphone,1529416801499145984,-14.75982666,-12.54425049,-38.99841309
magnetometer,smartphone,1529416801519134976,-14.75982666,-12.54425049,-38.99841309
magnetometer,smartphone,1529416801539123968,-18.34259033,-12.56713867,-37.56561279
magnetometer,smartphone,1529416801559479040,-19.06433105,-11.17553711,-38.29803467
magnetometer,smartphone,1529416801579101952,-19.05059814,-13.27209473,-36.12670898
magnetometer,smartphone,1529416801599121152,-17.86499023,-14.48364258,-36.84692383
magnetometer,smartphone,1529416801619080192,-19.29168701,-13.79699707,-36.13891602
magnetometer,smartphone,1529416801639069184,-18.60198975,-14.4821167,-38.27362061
magnetometer,smartphone,1529416801659058176,-14.61181641,-11.66381836,-37.95776367
magnetometer,smartphone,1529416801679047168,-14.61639404,-9.568786621,-39.41345215
magnetometer,smartphone,1529416801699035904,-13.18054199,-8.862304688,-40.13977051
magnetometer,smartphone,1529416801719451904,-13.88702393,-6.777954102,-40.16723633
magnetometer,smartphone,1529416801739165952,-13.18054199,-6.072998047,-41.60614014
magnetometer,smartphone,1529416801759064064,-11.02752686,-7.453918457,-41.58935547
magnetometer,smartphone,1529416801779053056,-11.73095703,-6.066894531,-40.89355469
magnetometer,smartphone,1529416801798980864,-10.99395752,-4.67376709,-40.19775391
magnetometer,smartphone,1529416801818969856,-11.02752686,-6.059265137,-42.32330322
magnetometer,smartphone,1529416801838959104,-11.01074219,-4.669189453,-41.62750244
magnetometer,smartphone,1529416801858948096,-10.31188965,-6.75201416,-42.31414795
magnetometer,smartphone,1529416801879271936,-10.31646729,-8.843994141,-41.57104492
magnetometer,smartphone,1529416801899108864,-8.880615234,-9.532165527,-41.56341553
magnetometer,smartphone,1529416801918915072,-12.76245117,-13.63830566,-42.34771729
magnetometer,smartphone,1529416801938934016,-14.9017334,-14.35394287,-40.19317627
magnetometer,smartphone,1529416801958923008,-14.91088867,-12.95623779,-41.63970947
magnetometer,smartphone,1529416801978882048,-14.90631104,-13.65509033,-40.91644287
magnetometer,smartphone,1529416801998900992,-19.83032227,-8.467102051,-36.90795898
magnetometer,smartphone,1529416802018860032,-19.11010742,-8.462524414,-36.90948486
magnetometer,smartphone,1529416802039246080,-19.8348999,-9.162902832,-36.89880371
magnetometer,smartphone,1529416802059081984,-20.58105469,-11.95068359,-37.57476807
magnetometer,smartphone,1529416802078827008,-20.56427002,-9.164428711,-37.61291504
magnetometer,smartphone,1529416802098845952,-21.26159668,-8.476257324,-36.19232178
magnetometer,smartphone,1529416802118834944,-21.98638916,-7.781982422,-36.9140625
magnetometer,smartphone,1529416802138977024,-24.14398193,-8.491516113,-36.18774414
magnetometer,smartphone,1529416802158782976,-23.43139648,-8.485412598,-36.90338135
magnetometer,smartphone,1529416802178771968,-22.69439697,-7.090759277,-36.20910645
magnetometer,smartphone,1529416802198760960,-25.55847168,-5.715942383,-35.51025391
magnetometer,smartphone,1529416802219116032,-24.85961914,-6.40411377,-36.92932129
magnetometer,smartphone,1529416802238738944,-22.85003662,-2.484130859,-36.81640625
magnetometer,smartphone,1529416802258820096,-24.28588867,-1.794433594,-36.82403564
magnetometer,smartphone,1529416802278716928,-23.54431152,-1.098632812,-35.40649414
magnetometer,smartphone,1529416802298767104,-25.01068115,-2.494812012,-36.81335449
magnetometer,smartphone,1529416802318695168,-22.81494141,-1.097106934,-34.69238281
magnetometer,smartphone,1529416802338684160,-24.50256348,-7.88269043,-35.51330566
magnetometer,smartphone,1529416802358673152,-23.76098633,-5.790710449,-34.82818604
magnetometer,smartphone,1529416802379089152,-23.78692627,-5.784606934,-36.9720459
magnetometer,smartphone,1529416802398743040,-23.77319336,-5.090332031,-36.26708984
magnetometer,smartphone,1529416802418670848,-23.777771,-5.786132812,-36.25640869
magnetometer,smartphone,1529416802438628864,-24.49493408,-3.698730469,-36.99798584
magnetometer,smartphone,1529416802458617856,-23.02703857,-3.698730469,-34.85717773
magnetometer,smartphone,1529416802478606848,-25.90789795,-3.712463379,-34.85412598
magnetometer,smartphone,1529416802498595840,-24.48120117,-3.004455566,-36.29302979
magnetometer,smartphone,1529416802518585088,-23.04534912,-3.694152832,-36.28540039
magnetometer,smartphone,1529416802538909952,-24.4720459,-1.611328125,-36.31286621
magnetometer,smartphone,1529416802558746112,-23.42224121,-4.791259766,-35.83068848
magnetometer,smartphone,1529416802578583040,-22.70202637,-3.392028809,-36.56463623
magnetometer,smartphone,1529416802598572032,-22.706604,-1.29699707,-38.02185059
magnetometer,smartphone,1529416802618530048,-22.69287109,-1.998901367,-36.58447266
magnetometer,smartphone,1529416802638519040,-21.96502686,-0.602722168,-36.60430908
magnetometer,smartphone,1529416802658508032,-22.53570557,2.507019043,-38.7512207
magnetometer,smartphone,1529416802678497024,-22.84545898,0.8560180664,-36.22436523
magnetometer,smartphone,1529416802698853120,-23.58398438,0.8575439453,-37.65258789
magnetometer,smartphone,1529416802718749952,-22.12677002,2.255249023,-36.95831299
magnetometer,smartphone,1529416802738464000,-22.16033936,2.264404297,-39.81628418
magnetometer,smartphone,1529416802758483968,-22.13439941,2.258300781,-37.67242432
magnetometer,smartphone,1529416802778441984,-20.69854736,1.568603516,-37.66479492
magnetometer,smartphone,1529416802798430976,-22.8729248,2.258300781,-39.10064697
magnetometer,smartphone,1529416802818419968,-20.68939209,2.961730957,-37.68310547
magnetometer,smartphone,1529416802838408960,-22.86376953,0.8605957031,-37.65258789
magnetometer,smartphone,1529416802858428928,-22.14355469,0.8651733398,-37.65411377
magnetometer,smartphone,1529416802878753792,-24.89929199,3.662109375,-38.33312988
magnetometer,smartphone,1529416802898406912,-24.18823242,2.27355957,-38.31481934
magnetometer,smartphone,1529416802918426880,-23.44665527,4.364013672,-37.62969971
magnetometer,smartphone,1529416802938384896,-24.18823242,3.668212891,-39.04876709
magnetometer,smartphone,1529416802958343936,-24.15771484,2.961730957,-36.18164062
magnetometer,smartphone,1529416802978332928,-24.8916626,3.659057617,-37.61901855
magnetometer,smartphone,1529416802998321920,-25.50506592,-0.1678466797,-36.34796143
magnetometer,smartphone,1529416803018310912,-26.19476318,0.5172729492,-34.21325684
magnetometer,smartphone,1529416803038727168,-25.50506592,-0.1678466797,-36.34796143
