,id,sensor_id,timestamp,time,x,y,z,activity_label,ankle_l_x,ankle_l_y,ankle_l_z,ankle_r_x,ankle_r_y,ankle_r_z,belt_x,belt_y,belt_z,chest_x,chest_y,chest_z,labelWalking,labelFalling,labelLyingDown,labelLying,labelSittingDown,labelSitting,labelStandingFromLying,labelOnAllFours,labelSittingOnTheGround,labelStandingFromSitting,labelStandingFromSittingOnTheGround
0,A01,010-000-024-033,633790226051280329,27.05.2009 14:03:25:127,4.06293106079,1.89243423939,0.507425427437,walking,4.06293106079,1.89243423939,0.507425427437,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
1,A01,020-000-033-111,633790226051820913,27.05.2009 14:03:25:183,4.29195356369,1.78114044666,1.34449529648,walking,,,,,,,,,,4.29195356369,1.78114044666,1.34449529648,1,0,0,0,0,0,0,0,0,0,0
2,A01,020-000-032-221,633790226052091205,27.05.2009 14:03:25:210,4.35910129547,1.82645571232,0.968820989132,walking,,,,,,,4.35910129547,1.82645571232,0.968820989132,,,,1,0,0,0,0,0,0,0,0,0,0
3,A01,010-000-024-033,633790226052361498,27.05.2009 14:03:25:237,4.08783531189,1.87999868393,0.466983407736,walking,4.08783531189,1.87999868393,0.466983407736,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
4,A01,010-000-030-096,633790226052631792,27.05.2009 14:03:25:263,4.32446241379,2.07245969772,0.488064646721,walking,,,,4.32446241379,2.07245969772,0.488064646721,,,,,,,1,0,0,0,0,0,0,0,0,0,0
5,A01,020-000-033-111,633790226052902087,27.05.2009 14:03:25:290,4.36407709122,1.76769149303,1.29999637604,walking,,,,,,,,,,4.36407709122,1.76769149303,1.29999637604,1,0,0,0,0,0,0,0,0,0,0
6,A01,020-000-032-221,633790226053172379,27.05.2009 14:03:25:317,4.37390804291,1.88795959949,0.769018948078,walking,,,,,,,4.37390804291,1.88795959949,0.769018948078,,,,1,0,0,0,0,0,0,0,0,0,0
7,A01,010-000-024-033,633790226053442677,27.05.2009 14:03:25:343,3.95849609375,1.70356285572,0.511041402817,walking,3.95849609375,1.70356285572,0.511041402817,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
8,A01,020-000-033-111,633790226053983265,27.05.2009 14:03:25:397,4.24491357803,1.98168194294,1.30875885487,walking,,,,,,,,,,4.24491357803,1.98168194294,1.30875885487,1,0,0,0,0,0,0,0,0,0,0
9,A01,010-000-024-033,633790226054523854,27.05.2009 14:03:25:453,4.01699066162,1.73406493664,0.193166807294,walking,4.01699066162,1.73406493664,0.193166807294,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
10,A01,010-000-030-096,633790226054794151,27.05.2009 14:03:25:480,4.35824918747,2.03383588791,0.502825260162,walking,,,,4.35824918747,2.03383588791,0.502825260162,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11,A01,020-000-033-111,633790226055064446,27.05.2009 14:03:25:507,4.12630939484,2.16554093361,1.37884378433,walking,,,,,,,,,,4.12630939484,2.16554093361,1.37884378433,1,0,0,0,0,0,0,0,0,0,0
12,A01,020-000-032-221,633790226055334743,27.05.2009 14:03:25:533,4.41847038269,1.83986020088,0.97294074297,walking,,,,,,,4.41847038269,1.83986020088,0.97294074297,,,,1,0,0,0,0,0,0,0,0,0,0
13,A01,010-000-024-033,633790226055605037,27.05.2009 14:03:25:560,3.74837470055,2.07342243195,0.254481703043,walking,3.74837470055,2.07342243195,0.254481703043,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14,A01,020-000-032-221,633790226056415915,27.05.2009 14:03:25:640,4.36312580109,1.93686878681,0.939827740192,walking,,,,,,,4.36312580109,1.93686878681,0.939827740192,,,,1,0,0,0,0,0,0,0,0,0,0
15,A01,010-000-024-033,633790226056686205,27.05.2009 14:03:25:670,3.82089400291,2.04937791824,0.0553768649697,walking,3.82089400291,2.04937791824,0.0553768649697,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
16,A01,010-000-030-096,633790226056956500,27.05.2009 14:03:25:697,4.35547733307,1.99015069008,0.501697838306,walking,,,,4.35547733307,1.99015069008,0.501697838306,,,,,,,1,0,0,0,0,0,0,0,0,0,0
17,A01,020-000-033-111,633790226057226795,27.05.2009 14:03:25:723,4.29250097275,2.07385325432,1.36650812626,walking,,,,,,,,,,4.29250097275,2.07385325432,1.36650812626,1,0,0,0,0,0,0,0,0,0,0
18,A01,020-000-032-221,633790226057497087,27.05.2009 14:03:25:750,4.44374513626,1.88284301758,0.980791985989,walking,,,,,,,4.44374513626,1.88284301758,0.980791985989,,,,1,0,0,0,0,0,0,0,0,0,0
19,A01,010-000-024-033,633790226057767378,27.05.2009 14:03:25:777,4.03950643539,1.90846538544,0.453817009926,walking,4.03950643539,1.90846538544,0.453817009926,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
20,A01,020-000-032-221,633790226058578251,27.05.2009 14:03:25:857,4.44277191162,1.92148947716,0.972291707993,walking,,,,,,,4.44277191162,1.92148947716,0.972291707993,,,,1,0,0,0,0,0,0,0,0,0,0
21,A01,010-000-024-033,633790226058848547,27.05.2009 14:03:25:883,4.03004932404,1.92463433743,0.490845888853,walking,4.03004932404,1.92463433743,0.490845888853,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
22,A01,010-000-030-096,633790226059118838,27.05.2009 14:03:25:913,4.43934965134,1.77909481525,0.581532657146,walking,,,,4.43934965134,1.77909481525,0.581532657146,,,,,,,1,0,0,0,0,0,0,0,0,0,0
23,A01,020-000-033-111,633790226059389134,27.05.2009 14:03:25:940,4.40106487274,1.95873010159,1.39270281792,walking,,,,,,,,,,4.40106487274,1.95873010159,1.39270281792,1,0,0,0,0,0,0,0,0,0,0
24,A01,010-000-024-033,633790226059929714,27.05.2009 14:03:25:993,4.03309726715,1.90774607658,0.449980527163,walking,4.03309726715,1.90774607658,0.449980527163,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
25,A01,020-000-033-111,633790226060470296,27.05.2009 14:03:26:047,4.25781297684,2.11881637573,1.42175984383,walking,,,,,,,,,,4.25781297684,2.11881637573,1.42175984383,1,0,0,0,0,0,0,0,0,0,0
26,A01,020-000-032-221,633790226060740593,27.05.2009 14:03:26:073,4.32175683975,2.01616597176,0.954243063927,walking,,,,,,,4.32175683975,2.01616597176,0.954243063927,,,,1,0,0,0,0,0,0,0,0,0,0
27,A01,010-000-024-033,633790226061010886,27.05.2009 14:03:26:100,3.81520819664,1.98811626434,0.227397888899,walking,3.81520819664,1.98811626434,0.227397888899,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
28,A01,010-000-030-096,633790226061281182,27.05.2009 14:03:26:127,4.3086681366,2.04155898094,0.556878507137,walking,,,,4.3086681366,2.04155898094,0.556878507137,,,,,,,1,0,0,0,0,0,0,0,0,0,0
29,A01,020-000-033-111,633790226061551477,27.05.2009 14:03:26:157,4.17521905899,2.16235184669,1.35212993622,walking,,,,,,,,,,4.17521905899,2.16235184669,1.35212993622,1,0,0,0,0,0,0,0,0,0,0
30,A01,010-000-024-033,633790226062092058,27.05.2009 14:03:26:210,4.02553844452,1.91919565201,0.537732839584,walking,4.02553844452,1.91919565201,0.537732839584,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
