,id,sensor_id,timestamp,time,x,y,z,activity_label,ankle_l_x,ankle_l_y,ankle_l_z,ankle_r_x,ankle_r_y,ankle_r_z,belt_x,belt_y,belt_z,chest_x,chest_y,chest_z,labelWalking,labelFalling,labelLyingDown,labelLying,labelSittingDown,labelSitting,labelStandingFromLying,labelOnAllFours,labelSittingOnTheGround,labelStandingFromSitting,labelStandingFromSittingOnTheGround
103095,D03,010-000-024-033,633790158841259888,27.05.2009 12:11:24:127,1.21811187267,1.56993341446,-0.161253541708,walking,1.21811187267,1.56993341446,-0.161253541708,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
103096,D03,010-000-030-096,633790158842070759,27.05.2009 12:11:24:207,1.1569737196,1.29889881611,-0.22583989799,walking,,,,1.1569737196,1.29889881611,-0.22583989799,,,,,,,1,0,0,0,0,0,0,0,0,0,0
103097,D03,010-000-024-033,633790158842341051,27.05.2009 12:11:24:233,1.27413403988,1.63856458664,-0.134678900242,walking,1.27413403988,1.63856458664,-0.134678900242,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
103098,D03,020-000-033-111,633790158842611347,27.05.2009 12:11:24:260,1.02438521385,1.0433743,1.14819777012,walking,,,,,,,,,,1.02438521385,1.0433743,1.14819777012,1,0,0,0,0,0,0,0,0,0,0
103099,D03,020-000-032-221,633790158842881642,27.05.2009 12:11:24:287,1.01197755337,0.916183412075,0.721986651421,walking,,,,,,,1.01197755337,0.916183412075,0.721986651421,,,,1,0,0,0,0,0,0,0,0,0,0
103100,D03,010-000-030-096,633790158843151932,27.05.2009 12:11:24:317,1.1899638176,1.29106509686,-0.110221579671,walking,,,,1.1899638176,1.29106509686,-0.110221579671,,,,,,,1,0,0,0,0,0,0,0,0,0,0
103101,D03,010-000-024-033,633790158843422229,27.05.2009 12:11:24:343,1.17926836014,1.52553713322,-0.220232188702,walking,1.17926836014,1.52553713322,-0.220232188702,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
103102,D03,010-000-030-096,633790158844233103,27.05.2009 12:11:24:423,1.18717396259,1.28788340092,-0.0761488229036,walking,,,,1.18717396259,1.28788340092,-0.0761488229036,,,,,,,1,0,0,0,0,0,0,0,0,0,0
103103,D03,010-000-024-033,633790158844503394,27.05.2009 12:11:24:450,1.26359772682,1.49089944363,-0.34757116437,walking,1.26359772682,1.49089944363,-0.34757116437,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
103104,D03,020-000-033-111,633790158844773686,27.05.2009 12:11:24:477,1.0144380331,1.02125740051,1.12465798855,walking,,,,,,,,,,1.0144380331,1.02125740051,1.12465798855,1,0,0,0,0,0,0,0,0,0,0
103105,D03,020-000-032-221,633790158845043978,27.05.2009 12:11:24:503,1.01828587055,0.936172842979,0.722031772137,walking,,,,,,,1.01828587055,0.936172842979,0.722031772137,,,,1,0,0,0,0,0,0,0,0,0,0
103106,D03,010-000-030-096,633790158845314270,27.05.2009 12:11:24:530,1.18504750729,1.30723786354,-0.202442586422,walking,,,,1.18504750729,1.30723786354,-0.202442586422,,,,,,,1,0,0,0,0,0,0,0,0,0,0
103107,D03,010-000-024-033,633790158845584567,27.05.2009 12:11:24:560,1.16764163971,1.56555879116,-0.199988231063,walking,1.16764163971,1.56555879116,-0.199988231063,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
103108,D03,020-000-032-221,633790158846125147,27.05.2009 12:11:24:613,1.20242762566,1.63320183754,0.817288935184,walking,,,,,,,1.20242762566,1.63320183754,0.817288935184,,,,1,0,0,0,0,0,0,0,0,0,0
