_id,statusId,sensorName,accuracy,value,timestamp
13,4,"AK09911 Magnetometer",3,"[-22.410583,-38.212585,-18.093872]",1528171720675
30,4,"AK09911 Magnetometer",3,"[-21.694946,-37.509155,-18.818665]",1528171720695
48,4,"AK09911 Magnetometer",3,"[-20.275879,-36.798096,-20.973206]",1528171720716
66,4,"AK09911 Magnetometer",3,"[-20.983887,-36.1084,-20.266724]",1528171720736
86,4,"AK09911 Magnetometer",3,"[-20.277405,-35.403442,-21.705627]",1528171720756
104,4,"AK09911 Magnetometer",3,"[-22.415161,-34.7229,-20.283508]",1528171720775
122,4,"AK09911 Magnetometer",3,"[-21.005249,-35.40497,-22.419739]",1528171720795
140,4,"AK09911 Magnetometer",3,"[-20.277405,-34.00879,-22.43805]",1528171720816
158,4,"AK09911 Magnetometer",3,"[-20.26825,-32.61566,-22.457886]",1528171720835
176,4,"AK09911 Magnetometer",3,"[-20.983887,-31.922913,-22.465515]",1528171720855
194,4,"AK09911 Magnetometer",3,"[-20.277405,-31.217957,-23.904419]",1528171720875
212,4,"AK09911 Magnetometer",3,"[-19.569397,-33.303833,-23.876953]",1528171720896
232,4,"AK09911 Magnetometer",3,"[-21.713257,-31.924438,-23.179626]",1528171720916
250,4,"AK09911 Magnetometer",3,"[-20.28656,-31.214905,-24.61853]",1528171720936
268,4,"AK09911 Magnetometer",3,"[-19.58313,-31.207275,-26.048279]",1528171720956
286,4,"AK09911 Magnetometer",3,"[-19.573975,-31.208801,-25.334167]",1528171720975
304,4,"AK09911 Magnetometer",3,"[-17.808533,-0.30975342,-37.998962]",1528171720995
322,4,"AK09911 Magnetometer",3,"[-17.079163,-0.30822754,-37.28485]",1528171721015
340,4,"AK09911 Magnetometer",3,"[-18.519592,-0.31585693,-37.283325]",1528171721035
358,4,"AK09911 Magnetometer",3,"[-17.08374,0.390625,-38.008118]",1528171721055
378,4,"AK09911 Magnetometer",3,"[-14.935303,-0.29144287,-38.716125]",1528171721075
396,4,"AK09911 Magnetometer",3,"[-18.528748,1.0818481,-38.72986]",1528171721096
414,4,"AK09911 Magnetometer",3,"[-16.351318,2.4841309,-38.03711]",1528171721115
432,4,"AK09911 Magnetometer",3,"[-17.791748,2.4765015,-38.035583]",1528171721136
450,4,"AK09911 Magnetometer",3,"[-19.232178,3.8650513,-38.76648]",1528171721155
468,4,"AK09911 Magnetometer",3,"[-17.796326,4.5700073,-39.492798]",1528171721175
486,4,"AK09911 Magnetometer",3,"[-17.799377,3.8742065,-39.483643]",1528171721195
504,4,"AK09911 Magnetometer",3,"[-18.528748,3.8726807,-40.196228]",1528171721215
524,4,"AK09911 Magnetometer",3,"[-19.248962,5.264282,-40.92865]",1528171721236
542,4,"AK09911 Magnetometer",3,"[-17.08374,5.97229,-40.940857]",1528171721255
560,4,"AK09911 Magnetometer",3,"[-19.236755,7.3532104,-40.956116]",1528171721275
