_id,statusId,sensorName,accuracy,value,timestamp
3747,4,GPS,1,"{""mAltitude"":0.0,""mBearing"":0.0,""mBearingAccuracyDegrees"":0.0,""mElapsedRealtimeNanos"":84833726000000,""mFieldsMask"":8,""mHorizontalAccuracyMeters"":22.933,""mLatitude"":52.3319724,""mLongitude"":4.8670584,""mProvider"":""fused"",""mSpeed"":0.0,""mSpeedAccuracyMetersPerSecond"":0.0,""mTime"":1528106311854,""mVerticalAccuracyMeters"":0.0}",1528088009581
4076,4,GPS,1,"{""mAltitude"":49.29999923706055,""mBearing"":0.0,""mBearingAccuracyDegrees"":0.0,""mElapsedRealtimeNanos"":85239265000000,""mExtras"":{""mFlags"":1537,""mParcelledData"":{""mNativePtr"":512005232672,""mNativeSize"":0,""mOwnsNativeParcelObject"":true,""mReadWriteHelper"":{}}},""mFieldsMask"":41,""mHorizontalAccuracyMeters"":16.843,""mLatitude"":52.3329699,""mLongitude"":4.8668152,""mProvider"":""fused"",""mSpeed"":0.0,""mSpeedAccuracyMetersPerSecond"":0.0,""mTime"":1528106717392,""mVerticalAccuracyMeters"":5.5999985}",1528088009581
8523,4,GPS,1,"{""mAltitude"":49.29999923706055,""mBearing"":0.0,""mBearingAccuracyDegrees"":0.0,""mElapsedRealtimeNanos"":85243795000000,""mExtras"":{""mFlags"":1537,""mParcelledData"":{""mNativePtr"":512005233792,""mNativeSize"":0,""mOwnsNativeParcelObject"":true,""mReadWriteHelper"":{}}},""mFieldsMask"":41,""mHorizontalAccuracyMeters"":20.408,""mLatitude"":52.3330328,""mLongitude"":4.8668451,""mProvider"":""fused"",""mSpeed"":0.0,""mSpeedAccuracyMetersPerSecond"":0.0,""mTime"":1528106721922,""mVerticalAccuracyMeters"":2.0}",1528088009581
31399,4,GPS,1,"{""mAltitude"":0.0,""mBearing"":0.0,""mBearingAccuracyDegrees"":0.0,""mElapsedRealtimeNanos"":85254342000000,""mFieldsMask"":8,""mHorizontalAccuracyMeters"":14.498,""mLatitude"":52.3334,""mLongitude"":4.8670128,""mProvider"":""fused"",""mSpeed"":0.0,""mSpeedAccuracyMetersPerSecond"":0.0,""mTime"":1528106732469,""mVerticalAccuracyMeters"":0.0}",1528088009582
39027,4,GPS,1,"{""mAltitude"":0.0,""mBearing"":0.0,""mBearingAccuracyDegrees"":0.0,""mElapsedRealtimeNanos"":85260539000000,""mFieldsMask"":8,""mHorizontalAccuracyMeters"":14.498,""mLatitude"":52.3334,""mLongitude"":4.8670128,""mProvider"":""fused"",""mSpeed"":0.0,""mSpeedAccuracyMetersPerSecond"":0.0,""mTime"":1528106738666,""mVerticalAccuracyMeters"":0.0}",1528088009582
253113,4,GPS,1,"{""mAltitude"":0.0,""mBearing"":0.0,""mBearingAccuracyDegrees"":0.0,""mElapsedRealtimeNanos"":85330183000000,""mFieldsMask"":8,""mHorizontalAccuracyMeters"":699.999,""mLatitude"":52.3318583,""mLongitude"":4.8703442,""mProvider"":""fused"",""mSpeed"":0.0,""mSpeedAccuracyMetersPerSecond"":0.0,""mTime"":1528106808311,""mVerticalAccuracyMeters"":0.0}",1528088009582
345397,4,GPS,1,"{""mAltitude"":0.0,""mBearing"":0.0,""mBearingAccuracyDegrees"":0.0,""mElapsedRealtimeNanos"":85330183000000,""mFieldsMask"":8,""mHorizontalAccuracyMeters"":699.999,""mLatitude"":52.3318583,""mLongitude"":4.8703442,""mProvider"":""fused"",""mSpeed"":0.0,""mSpeedAccuracyMetersPerSecond"":0.0,""mTime"":1528106808311,""mVerticalAccuracyMeters"":0.0}",1528088009582
569932,4,GPS,1,"{""mAltitude"":0.0,""mBearing"":0.0,""mBearingAccuracyDegrees"":0.0,""mElapsedRealtimeNanos"":85450183000000,""mFieldsMask"":8,""mHorizontalAccuracyMeters"":600.0,""mLatitude"":52.328719,""mLongitude"":4.8656476,""mProvider"":""fused"",""mSpeed"":0.0,""mSpeedAccuracyMetersPerSecond"":0.0,""mTime"":1528106928311,""mVerticalAccuracyMeters"":0.0}",1528088009582
600698,4,GPS,1,"{""mAltitude"":0.0,""mBearing"":0.0,""mBearingAccuracyDegrees"":0.0,""mElapsedRealtimeNanos"":85450183000000,""mFieldsMask"":8,""mHorizontalAccuracyMeters"":600.0,""mLatitude"":52.328719,""mLongitude"":4.8656476,""mProvider"":""fused"",""mSpeed"":0.0,""mSpeedAccuracyMetersPerSecond"":0.0,""mTime"":1528106928311,""mVerticalAccuracyMeters"":0.0}",1528088009581
660756,4,GPS,1,"{""mAltitude"":0.0,""mBearing"":0.0,""mBearingAccuracyDegrees"":0.0,""mElapsedRealtimeNanos"":85570251000000,""mFieldsMask"":8,""mHorizontalAccuracyMeters"":40.278,""mLatitude"":52.3337153,""mLongitude"":4.8640264,""mProvider"":""fused"",""mSpeed"":0.0,""mSpeedAccuracyMetersPerSecond"":0.0,""mTime"":1528107048379,""mVerticalAccuracyMeters"":0.0}",1528088009582
