"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.007293701E-1,5.118957520E0,5.365524292E0
2.471924000E-3,-1.959381104E-1,5.230285645E0,5.443328857E0
4.943848000E-3,-1.947479248E-1,5.272186279E0,5.493606567E0
7.415772000E-3,-1.205291748E-1,5.351196289E0,5.561843872E0
9.887696000E-3,-8.700561523E-2,5.464920044E0,5.646835327E0
1.235961900E-2,-5.108642578E-2,5.608566284E0,5.662399292E0
1.479701800E-2,1.713562012E-2,5.774963379E0,5.779724121E0
1.723842400E-2,8.537292480E-2,5.898269653E0,5.881469727E0
1.971034800E-2,1.990966797E-1,5.994033813E0,5.973648071E0
2.218227200E-2,2.278289795E-1,6.112548828E0,6.021530151E0
2.465419500E-2,2.038879395E-1,6.204727173E0,6.175964355E0
2.709560200E-2,2.493743896E-1,6.283737183E0,6.282501221E0
2.956752500E-2,2.386016846E-1,6.348373413E0,6.392639160E0
3.200893200E-2,1.919250488E-1,6.384292603E0,6.491989136E0
3.448085600E-2,1.751556396E-1,6.410629272E0,6.630859375E0
3.695277900E-2,1.619873047E-1,6.416610718E0,6.804428101E0
3.942470300E-2,9.614562988E-2,6.392669678E0,6.928939819E0
4.186610900E-2,4.347229004E-2,6.367538452E0,7.060607910E0
4.433803300E-2,6.382751465E-2,6.377105713E0,7.152786255E0
4.680995700E-2,-1.637268066E-2,6.323242188E0,7.242568970E0
4.925136300E-2,-2.954101562E-2,6.317260742E0,7.344329834E0
5.172328700E-2,8.758544922E-3,6.284927368E0,7.444885254E0
5.416469300E-2,2.073669434E-2,6.237045288E0,7.620864868E0
5.663661700E-2,3.509521484E-2,6.207122803E0,7.746551514E0
5.910854100E-2,4.107666016E-2,6.210708618E0,7.778869629E0
6.154994700E-2,7.220458984E-2,6.192749023E0,7.839920044E0
6.402187100E-2,1.368560791E-1,6.185577393E0,7.902175903E0
6.649379500E-2,1.631927490E-1,6.160430908E0,7.960830688E0
6.893520100E-2,2.505798340E-1,6.117340088E0,8.013504028E0
7.140712500E-2,3.475341797E-1,6.098190308E0,8.062591553E0
7.384853100E-2,3.200073242E-1,6.067062378E0,8.109268188E0
7.632045500E-2,3.714904785E-1,6.061080933E0,8.146392822E0
7.879237900E-2,4.600677490E-1,6.033538818E0,8.098495483E0
8.126430300E-2,4.445037842E-1,5.962905884E0,8.105682373E0
8.370570900E-2,5.151367188E-1,5.935379028E0,8.055404663E0
8.617763300E-2,5.929412842E-1,5.913833618E0,8.050613403E0
8.861903900E-2,5.989379883E-1,5.879119873E0,7.989562988E0
9.106044500E-2,6.288604736E-1,5.875518799E0,7.921325684E0
9.353236900E-2,6.480102539E-1,5.847991943E0,7.900985718E0
