"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,1.003417969E-1,-7.614135742E-2,-1.013183594E-2
2.471924000E-3,9.822082520E-2,-8.360290527E-2,-2.079772949E-2
4.943848000E-3,9.608459473E-2,-9.104919434E-2,-3.570556641E-2
7.415772000E-3,8.969116211E-2,-1.016998291E-1,-4.849243164E-2
9.857178000E-3,8.757019043E-2,-1.059722900E-1,-6.126403809E-2
1.232910200E-2,8.224487305E-2,-1.091613770E-1,-7.192993164E-2
1.480102600E-2,7.691955566E-2,-1.155548096E-1,-8.044433594E-2
1.724243200E-2,6.520080566E-2,-1.176910400E-1,-9.109497070E-2
1.971435600E-2,5.880737305E-2,-1.166229248E-1,-9.642028809E-2
2.215576200E-2,5.241394043E-2,-1.134185791E-1,-1.070709229E-1
2.462768600E-2,4.708862305E-2,-1.091613770E-1,-1.156005859E-1
2.709961000E-2,4.069519043E-2,-1.027679443E-1,-1.198577881E-1
2.954101600E-2,2.897644043E-2,-9.637451172E-2,-1.262512207E-1
3.201294000E-2,1.725769043E-2,-8.786010742E-2,-1.337127686E-1
3.448486400E-2,9.796142578E-3,-8.039855957E-2,-1.337127686E-1
3.692627000E-2,7.675170898E-3,-6.655883789E-2,-1.358337402E-1
3.939819400E-2,2.349853516E-3,-5.377197266E-2,-1.390380859E-1
4.187011700E-2,-9.368896484E-3,-4.312133789E-2,-1.401062012E-1
4.431152400E-2,-1.576232910E-2,-3.672790527E-2,-1.411590576E-1
4.678344700E-2,-2.748107910E-2,-2.607727051E-2,-1.432952881E-1
4.925537100E-2,-3.601074219E-2,-1.754760742E-2,-1.443634033E-1
5.169677800E-2,-4.345703125E-2,-5.828857422E-3,-1.401062012E-1
5.416870100E-2,-4.985046387E-2,-3.707885742E-3,-1.315765381E-1
5.664062500E-2,-5.838012695E-2,2.685546875E-3,-1.305084229E-1
5.911254900E-2,-6.477355957E-2,1.014709473E-2,-1.241149902E-1
6.155395500E-2,-6.903076172E-2,1.440429688E-2,-1.177368164E-1
6.399536200E-2,-7.328796387E-2,2.505493164E-2,-1.102752686E-1
6.646728500E-2,-7.435607910E-2,3.038024902E-2,-1.038818359E-1
6.893920900E-2,-8.074951172E-2,3.570556641E-2,-9.855651855E-2
7.138061500E-2,-8.287048340E-2,3.997802734E-2,-9.002685547E-2
7.385253900E-2,-8.074951172E-2,3.997802734E-2,-8.044433594E-2
7.632446300E-2,-7.649230957E-2,3.890991211E-2,-7.192993164E-2
7.879638700E-2,-7.221984863E-2,3.997802734E-2,-6.340026855E-2
8.123779300E-2,-6.263732910E-2,4.316711426E-2,-5.488586426E-2
8.367919900E-2,-6.050109863E-2,4.104614258E-2,-4.421997070E-2
8.615112300E-2,-5.624389648E-2,3.997802734E-2,-3.996276855E-2
8.862304700E-2,-4.985046387E-2,4.104614258E-2,-3.463745117E-2
9.106445300E-2,-4.345703125E-2,3.784179688E-2,-2.824401855E-2
9.353637700E-2,-4.133605957E-2,3.251647949E-2,-2.291870117E-2
9.600830100E-2,-2.961730957E-2,3.038024902E-2,-1.866149902E-2
9.848022500E-2,-2.108764648E-2,2.932739258E-2,-1.866149902E-2
1.009216310E-1,-7.247924805E-3,2.505493164E-2,-1.226806641E-2
