"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,8.840238452E-1,5.264725685E-1,2.155651093E0
4.943848000E-3,8.497231603E-1,4.419150352E-1,1.940128803E0
9.857178000E-3,7.605349422E-1,4.289393425E-1,1.775494099E0
1.477050800E-2,7.648169398E-1,3.443942070E-1,1.610516071E0
1.968383800E-2,6.707895994E-1,3.705101013E-1,1.461152077E0
2.462768600E-2,6.105204821E-1,4.005217552E-1,1.350027084E0
2.954101600E-2,5.167896748E-1,3.802995682E-1,1.236443996E0
3.445434600E-2,4.170139134E-1,4.153971672E-1,1.179243088E0
3.939819400E-2,3.605598211E-1,3.667283058E-1,1.020062923E0
4.431152400E-2,2.592423558E-1,3.593440056E-1,1.015476704E0
4.922485400E-2,1.786504090E-1,3.901891708E-1,1.029549122E0
5.416870200E-2,1.267784536E-1,3.819937706E-1,1.004261017E0
5.908203200E-2,4.635463655E-2,4.258861542E-1,1.069208145E0
6.399536200E-2,-2.702373639E-2,4.685587883E-1,1.134791851E0
6.890869200E-2,-5.480016395E-2,5.240664482E-1,1.228975773E0
7.385253900E-2,-4.495336860E-2,5.335674286E-1,1.321630478E0
7.876586900E-2,-9.704530984E-2,5.178008080E-1,1.406136990E0
8.367920000E-2,-7.712955773E-2,5.386800766E-1,1.462833405E0
8.859253000E-2,-1.088700965E-1,4.819803238E-1,1.464477062E0
9.353637700E-2,-5.219518393E-2,4.505333900E-1,1.537932873E0
9.844970700E-2,-5.618853122E-2,4.504265785E-1,1.582484245E0
1.033630370E-1,-6.625372916E-2,4.452347755E-1,1.588816643E0
1.083068850E-1,-6.000911817E-2,4.772224426E-1,1.575300217E0
1.132202150E-1,-7.068675011E-2,4.629807472E-1,1.483808517E0
1.181335450E-1,-3.228917718E-2,4.754800797E-1,1.390300751E0
1.230468750E-1,-1.203680504E-2,5.027155876E-1,1.296231270E0
1.279907230E-1,-2.235255763E-2,4.647011757E-1,1.159835815E0
1.329040530E-1,-4.176837578E-2,5.097060204E-1,9.780383110E-1
1.378173830E-1,-1.264380384E-2,4.859428406E-1,8.066515923E-1
1.427612310E-1,-3.070483916E-2,4.547538757E-1,6.710186005E-1
1.476745610E-1,-4.506807402E-2,4.429783821E-1,5.460596085E-1
1.525878910E-1,-4.224766791E-2,4.659686089E-1,4.174718857E-1
